feature,status,reason
asa,excluded,regex:(^|_)asa($|_)|brilique|ticagrelor|prasugrel|clopidogrel|plavix|aspirin|statin|statyna(^|_)asa($|_)
brilique,excluded,regex:(^|_)asa($|_)|brilique|ticagrelor|prasugrel|clopidogrel|plavix|aspirin|statin|statyna(^|_)asa($|_)
cad_ile_lat,excluded,datetime_like_values
data_cabg,excluded,regex:(^|_)data(_|$)
data_obecnego_pci,excluded,regex:(^|_)data(_|$)
data_obecnego_zawalu,excluded,regex:(^|_)data(_|$)
data_pobrania,excluded,regex:(^|_)data(_|$)
data_przeszlych_zawalow,excluded,regex:(^|_)data(_|$)
data_urodzenia,excluded,regex:(^|_)data(_|$)
data_zapaenia_zyl,excluded,regex:(^|_)data(_|$)
data_zaplenie_serca,excluded,regex:(^|_)data(_|$)
data_zatorowosci_pluc,excluded,regex:(^|_)data(_|$)
daty_przeszlych_pci,excluded,regex:pci
dm_ile_lat,excluded,datetime_like_values
frakcja_wyrzutowa_lewej_komory_serca_lvef,excluded,regex:(lvef|ef|ejection|frakcja_wyrzutowa|wyrzutowa|echo|echokard|strain)
glukoza_max_mg_dl,excluded,regex:(_|^)(max|maks|peak|szczyt|najwyz|highest|top)(_|$)
hb_wypis,excluded,regex:(^|_)wypis(_|$)
hscrp_max,excluded,regex:(_|^)(max|maks|peak|szczyt|najwyz|highest|top)(_|$)
ht_wypis,excluded,regex:(^|_)wypis(_|$)
icd_implantable_cardioverter_defibrillator,excluded,regex:(lvef|ef|ejection|frakcja_wyrzutowa|wyrzutowa|echo|echokard|strain)
ile_lat,excluded,datetime_like_values
ile_lat_2,excluded,datetime_like_values
ile_lat_crt_d,excluded,datetime_like_values
ile_lat_nie_pali,excluded,datetime_like_values
ilosc_paczek_dziennie,excluded,datetime_like_values
internal_id,excluded,id_exact
milurit_diuretyk,excluded,regex:(diuretyk|furosemid|spironol|eplerenon)
mpv_wypis,excluded,regex:(^|_)wypis(_|$)
nr_na_probce,excluded,id_exact
nr_pacjenta,excluded,id_exact
p_lcr_wypis,excluded,regex:(^|_)wypis(_|$)
patient_id,excluded,id_exact
pci_naczynie_obecne,excluded,regex:pci
pct_wypis,excluded,regex:(^|_)wypis(_|$)
pdw_wypis,excluded,regex:(^|_)wypis(_|$)
plt_wypis,excluded,regex:(^|_)wypis(_|$)
pomostowanie_aortalno_wiencowe_cabg,excluded,regex:cabg
przezskorna_interwencja_wiencowa_pci,excluded,regex:pci
rbc_wypis,excluded,regex:(^|_)wypis(_|$)
statyna,excluded,regex:(statin|statyn)
troponiny_max,excluded,regex:(_|^)(max|maks|peak|szczyt|najwyz|highest|top)(_|$)
typ_zawalu,excluded,target_col
wbc_wypis,excluded,regex:(^|_)wypis(_|$)
zawal_0_nigdy_1_teraz_2_kiedys_3_kiedys_i_teraz_a_stemi_b_nstemi_c_ua,excluded,regex:stemi
72_kda_pro_mmp_2,kept,
92_kda_pro_mmp_9,kept,
ace_i,kept,
albuminy_g_l,kept,
arb,kept,
bb,kept,
bmi,kept,
bms_des,kept,
cad,kept,
ccs,kept,
cholesterol_calkowity_tc,kept,
crp_5_zapalenie,kept,
crt_d_device,kept,
cukrzyca_dm,kept,
czy_pali,kept,
dm_leczenie,kept,
emmprin,kept,
gfr_min,kept,
hb_przyjecie,kept,
hba1c,kept,
hdl,kept,
ht_przyjecie,kept,
il_6_pg_ml,kept,
ile_lat_1,kept,
ile_lat_miazdzyca_t_szyjnych,kept,
ile_lat_mizdzyca_konczyn,kept,
ile_lat_pali,kept,
jaka,kept,
jaka_1,kept,
kidnej_failure_15_ml_min_m2,kept,
kidnej_insuficiency_60_ml_min_m2,kept,
klop,kept,
krwawienie,kept,
kwas_moczowy,kept,
ldl,kept,
leukocytoza_przyjecie_10000,kept,
miazdzyca_konczyn_dolnych,kept,
miazdzyca_tetnic_szyjnych,kept,
mpv_przyjecie,kept,
nabyta_wada_serca,kept,
nadcisnienie_tetnicze_nt,kept,
noac,kept,
non_hdl_calkowity_hdl,kept,
nyha,kept,
obwod_bioder,kept,
otylosc_bmi_30,kept,
p_lcr_przyjecie,kept,
pct_przyjecie,kept,
pdw_przyjecie,kept,
petlowy,kept,
plec,kept,
plt_przyjecie,kept,
pomosty,kept,
przewlekla_niewydolnosc_serca_chf,kept,
rbc_przyjecie,kept,
rodzaj_zaburzen,kept,
rodzenstwo,kept,
rodzice,kept,
stymulator,kept,
tnfalfa_pg_ml,kept,
trijglicerydy_tg,kept,
waga_kg,kept,
wbc_przyjecie,kept,
wiek_w_momencie_zbiorki,kept,
wrodzona_wada_serca,kept,
wyniki_fgf23_pg_ml,kept,
wyniki_klotho_pg_ml,kept,
wzrost_cm,kept,
zaburzenia_homeostazy_glukozy_6,kept,
zaburzenia_rytmu,kept,
zapalenie_miesnia_serca,kept,
zapalenie_zyl_konczyn_dolnych_zakrzepica,kept,
zatorowosc_plucna,kept,
