variant,feature,action,reason
FULL,72_kda_pro_mmp_2,keep,
FULL,92_kda_pro_mmp_9,keep,
FULL,ace_i,keep,
FULL,albuminy_g_l,drop,all_missing_in_df_task
FULL,arb,keep,
FULL,bb,keep,
FULL,bmi,keep,
FULL,bms_des,keep,
FULL,cad,keep,
FULL,ccs,keep,
FULL,cholesterol_calkowity_tc,keep,
FULL,crp_5_zapalenie,keep,
FULL,crt_d_device,keep,
FULL,cukrzyca_dm,keep,
FULL,czy_pali,keep,
FULL,dm_leczenie,keep,
FULL,emmprin,keep,
FULL,gfr_min,keep,
FULL,hb_przyjecie,keep,
FULL,hba1c,keep,
FULL,hdl,keep,
FULL,ht_przyjecie,keep,
FULL,il_6_pg_ml,keep,
FULL,ile_lat_1,keep,
FULL,ile_lat_miazdzyca_t_szyjnych,keep,
FULL,ile_lat_mizdzyca_konczyn,keep,
FULL,ile_lat_pali,keep,
FULL,jaka,drop,missing_gt_0.95
FULL,jaka_1,keep,
FULL,kidnej_failure_15_ml_min_m2,drop,all_missing_in_df_task
FULL,kidnej_insuficiency_60_ml_min_m2,drop,all_missing_in_df_task
FULL,klop,keep,
FULL,krwawienie,keep,
FULL,kwas_moczowy,keep,
FULL,ldl,keep,
FULL,leukocytoza_przyjecie_10000,keep,
FULL,miazdzyca_konczyn_dolnych,keep,
FULL,miazdzyca_tetnic_szyjnych,keep,
FULL,mpv_przyjecie,keep,
FULL,nabyta_wada_serca,keep,
FULL,nadcisnienie_tetnicze_nt,keep,
FULL,noac,keep,
FULL,non_hdl_calkowity_hdl,keep,
FULL,nyha,keep,
FULL,obwod_bioder,keep,
FULL,otylosc_bmi_30,keep,
FULL,p_lcr_przyjecie,keep,
FULL,pct_przyjecie,keep,
FULL,pdw_przyjecie,keep,
FULL,petlowy,keep,
FULL,plec,keep,
FULL,plt_przyjecie,keep,
FULL,pomosty,keep,
FULL,przewlekla_niewydolnosc_serca_chf,keep,
FULL,rbc_przyjecie,keep,
