feature,status,reason,auc_mean,auc_sd
72_kda_pro_mmp_2,ok,,0.8476190476190476,0.13725524495469638
92_kda_pro_mmp_9,ok,,0.9885714285714287,0.022857142857142864
cholesterol_calkowity_tc,ok,,0.6523809523809524,0.07133326975647242
emmprin,ok,,0.7571428571428571,0.1186469447801709
hdl,ok,,0.6728571428571428,0.06518071859911875
il_6_pg_ml,ok,,0.6247619047619047,0.10559839207186471
ldl,ok,,0.6052380952380954,0.08363076173508179
non_hdl_calkowity_hdl,ok,,0.6376190476190476,0.09120508399721355
tnfalfa_pg_ml,ok,,0.6342857142857141,0.11418249306857865
wyniki_fgf23_pg_ml,ok,,0.6980952380952381,0.10180235174524056
wyniki_klotho_pg_ml,ok,,0.7490476190476191,0.14929615669409615
