variant,feature,status,reason
FULL,72_kda_pro_mmp_2,kept,
FULL,92_kda_pro_mmp_9,kept,
FULL,ace_i,kept,
FULL,albuminy_g_l,kept,
FULL,arb,kept,
FULL,bb,kept,
FULL,bmi,kept,
FULL,bms_des,kept,
FULL,cad,kept,
FULL,ccs,kept,
FULL,cholesterol_calkowity_tc,kept,
FULL,crp_5_zapalenie,kept,
FULL,crt_d_device,kept,
FULL,cukrzyca_dm,kept,
FULL,czy_pali,kept,
FULL,dm_leczenie,kept,
FULL,emmprin,kept,
FULL,gfr_min,kept,
FULL,hb_przyjecie,kept,
FULL,hba1c,kept,
FULL,hdl,kept,
FULL,ht_przyjecie,kept,
FULL,il_6_pg_ml,kept,
FULL,ile_lat_1,kept,
FULL,ile_lat_miazdzyca_t_szyjnych,kept,
FULL,ile_lat_mizdzyca_konczyn,kept,
FULL,ile_lat_pali,kept,
FULL,jaka,kept,
FULL,jaka_1,kept,
FULL,kidnej_failure_15_ml_min_m2,kept,
FULL,kidnej_insuficiency_60_ml_min_m2,kept,
FULL,klop,kept,
FULL,krwawienie,kept,
FULL,kwas_moczowy,kept,
FULL,ldl,kept,
FULL,leukocytoza_przyjecie_10000,kept,
FULL,miazdzyca_konczyn_dolnych,kept,
FULL,miazdzyca_tetnic_szyjnych,kept,
FULL,mpv_przyjecie,kept,
FULL,nabyta_wada_serca,kept,
FULL,nadcisnienie_tetnicze_nt,kept,
FULL,noac,kept,
FULL,non_hdl_calkowity_hdl,kept,
FULL,nyha,kept,
FULL,obwod_bioder,kept,
FULL,otylosc_bmi_30,kept,
FULL,p_lcr_przyjecie,kept,
FULL,pct_przyjecie,kept,
FULL,pdw_przyjecie,kept,
FULL,petlowy,kept,
FULL,plec,kept,
FULL,plt_przyjecie,kept,
FULL,pomosty,kept,
FULL,przewlekla_niewydolnosc_serca_chf,kept,
FULL,rbc_przyjecie,kept,
FULL,rodzaj_zaburzen,kept,
FULL,rodzenstwo,kept,
FULL,rodzice,kept,
FULL,stymulator,kept,
FULL,tnfalfa_pg_ml,kept,
FULL,trijglicerydy_tg,kept,
FULL,waga_kg,kept,
FULL,wbc_przyjecie,kept,
FULL,wiek_w_momencie_zbiorki,kept,
FULL,wrodzona_wada_serca,kept,
FULL,wyniki_fgf23_pg_ml,kept,
FULL,wyniki_klotho_pg_ml,kept,
FULL,wzrost_cm,kept,
FULL,zaburzenia_homeostazy_glukozy_6,kept,
FULL,zaburzenia_rytmu,kept,
FULL,zapalenie_miesnia_serca,kept,
FULL,zapalenie_zyl_konczyn_dolnych_zakrzepica,kept,
FULL,zatorowosc_plucna,kept,
CLINICAL,ace_i,kept,
CLINICAL,albuminy_g_l,kept,
CLINICAL,arb,kept,
CLINICAL,bb,kept,
CLINICAL,bmi,kept,
CLINICAL,bms_des,kept,
CLINICAL,cad,kept,
CLINICAL,ccs,kept,
CLINICAL,crp_5_zapalenie,kept,
CLINICAL,crt_d_device,kept,
CLINICAL,cukrzyca_dm,kept,
CLINICAL,czy_pali,kept,
CLINICAL,dm_leczenie,kept,
CLINICAL,gfr_min,kept,
CLINICAL,hb_przyjecie,kept,
CLINICAL,hba1c,kept,
CLINICAL,ht_przyjecie,kept,
CLINICAL,ile_lat_1,kept,
CLINICAL,ile_lat_miazdzyca_t_szyjnych,kept,
CLINICAL,ile_lat_mizdzyca_konczyn,kept,
CLINICAL,ile_lat_pali,kept,
CLINICAL,jaka,kept,
CLINICAL,jaka_1,kept,
CLINICAL,kidnej_failure_15_ml_min_m2,kept,
CLINICAL,kidnej_insuficiency_60_ml_min_m2,kept,
CLINICAL,klop,kept,
CLINICAL,krwawienie,kept,
CLINICAL,kwas_moczowy,kept,
CLINICAL,leukocytoza_przyjecie_10000,kept,
CLINICAL,miazdzyca_konczyn_dolnych,kept,
CLINICAL,miazdzyca_tetnic_szyjnych,kept,
CLINICAL,mpv_przyjecie,kept,
CLINICAL,nabyta_wada_serca,kept,
CLINICAL,nadcisnienie_tetnicze_nt,kept,
CLINICAL,noac,kept,
CLINICAL,nyha,kept,
CLINICAL,obwod_bioder,kept,
CLINICAL,otylosc_bmi_30,kept,
CLINICAL,p_lcr_przyjecie,kept,
CLINICAL,pct_przyjecie,kept,
CLINICAL,pdw_przyjecie,kept,
CLINICAL,petlowy,kept,
CLINICAL,plec,kept,
CLINICAL,plt_przyjecie,kept,
CLINICAL,pomosty,kept,
CLINICAL,przewlekla_niewydolnosc_serca_chf,kept,
CLINICAL,rbc_przyjecie,kept,
CLINICAL,rodzaj_zaburzen,kept,
CLINICAL,rodzenstwo,kept,
CLINICAL,rodzice,kept,
CLINICAL,stymulator,kept,
CLINICAL,trijglicerydy_tg,kept,
CLINICAL,waga_kg,kept,
CLINICAL,wbc_przyjecie,kept,
CLINICAL,wiek_w_momencie_zbiorki,kept,
CLINICAL,wrodzona_wada_serca,kept,
CLINICAL,wzrost_cm,kept,
CLINICAL,zaburzenia_homeostazy_glukozy_6,kept,
CLINICAL,zaburzenia_rytmu,kept,
CLINICAL,zapalenie_miesnia_serca,kept,
CLINICAL,zapalenie_zyl_konczyn_dolnych_zakrzepica,kept,
CLINICAL,zatorowosc_plucna,kept,
BIOMARKERS,72_kda_pro_mmp_2,kept,
BIOMARKERS,92_kda_pro_mmp_9,kept,
BIOMARKERS,cholesterol_calkowity_tc,kept,
BIOMARKERS,emmprin,kept,
BIOMARKERS,hdl,kept,
BIOMARKERS,il_6_pg_ml,kept,
BIOMARKERS,ldl,kept,
BIOMARKERS,non_hdl_calkowity_hdl,kept,
BIOMARKERS,tnfalfa_pg_ml,kept,
BIOMARKERS,wyniki_fgf23_pg_ml,kept,
BIOMARKERS,wyniki_klotho_pg_ml,kept,
