variant,feature
CLINICAL,ace_i
CLINICAL,arb
CLINICAL,bb
CLINICAL,bmi
CLINICAL,bms_des
CLINICAL,cad
CLINICAL,ccs
CLINICAL,crp_5_zapalenie
CLINICAL,crt_d_device
CLINICAL,cukrzyca_dm
CLINICAL,czy_pali
CLINICAL,dm_leczenie
CLINICAL,gfr_min
CLINICAL,hb_przyjecie
CLINICAL,hba1c
CLINICAL,ht_przyjecie
CLINICAL,ile_lat_1
CLINICAL,ile_lat_miazdzyca_t_szyjnych
CLINICAL,ile_lat_mizdzyca_konczyn
CLINICAL,ile_lat_pali
CLINICAL,jaka_1
CLINICAL,klop
CLINICAL,krwawienie
CLINICAL,kwas_moczowy
CLINICAL,leukocytoza_przyjecie_10000
CLINICAL,miazdzyca_konczyn_dolnych
CLINICAL,miazdzyca_tetnic_szyjnych
CLINICAL,mpv_przyjecie
CLINICAL,nabyta_wada_serca
CLINICAL,nadcisnienie_tetnicze_nt
CLINICAL,noac
CLINICAL,nyha
CLINICAL,obwod_bioder
CLINICAL,otylosc_bmi_30
CLINICAL,p_lcr_przyjecie
CLINICAL,pct_przyjecie
CLINICAL,pdw_przyjecie
CLINICAL,petlowy
CLINICAL,plec
CLINICAL,plt_przyjecie
CLINICAL,pomosty
CLINICAL,przewlekla_niewydolnosc_serca_chf
CLINICAL,rbc_przyjecie
CLINICAL,rodzaj_zaburzen
CLINICAL,rodzenstwo
CLINICAL,rodzice
CLINICAL,stymulator
CLINICAL,trijglicerydy_tg
CLINICAL,waga_kg
CLINICAL,wbc_przyjecie
CLINICAL,wiek_w_momencie_zbiorki
CLINICAL,wrodzona_wada_serca
CLINICAL,wzrost_cm
CLINICAL,zaburzenia_homeostazy_glukozy_6
CLINICAL,zaburzenia_rytmu
CLINICAL,zapalenie_miesnia_serca
CLINICAL,zapalenie_zyl_konczyn_dolnych_zakrzepica
CLINICAL,zatorowosc_plucna
