variant,model,metric,mean,ci95_lo,ci95_hi,sd,n_folds
BIOMARKERS,HGB,accuracy,0.8606060606060607,0.8214330671542199,0.8997790540579015,0.0446905491022807,5
BIOMARKERS,LinearSVM,accuracy,0.7545454545454546,0.6200375222946619,0.8890533867962473,0.15345351021719836,5
BIOMARKERS,LogReg,accuracy,0.7212121212121212,0.6117555203387729,0.8306687220854695,0.12487367354023966,5
BIOMARKERS,RF,accuracy,0.8787878787878789,0.8117226788192516,0.9458530787565061,0.07651140104819755,5
BIOMARKERS,HGB,auprc,0.8299999999999998,0.7608885730625293,0.8991114269374704,0.07884584115009906,5
BIOMARKERS,LinearSVM,auprc,0.7959841269841268,0.675310030139018,0.9166582238292356,0.1376711651372736,5
BIOMARKERS,LogReg,auprc,0.7292698412698412,0.6317809096790394,0.8267587728606429,0.11122034596472426,5
BIOMARKERS,RF,auprc,0.9339999999999999,0.8691124541995924,0.9988875458004075,0.07402702209328695,5
BIOMARKERS,HGB,brier,0.11796617655327098,0.10052200003114242,0.13541035307539953,0.01990120638519659,5
BIOMARKERS,LinearSVM,brier,0.16468299011962179,0.11500422062208154,0.21436175961716203,0.05667607430359339,5
BIOMARKERS,LogReg,brier,0.18721664881633765,0.13724155060193366,0.23719174703074164,0.05701414121920187,5
BIOMARKERS,RF,brier,0.1107190777456297,0.0836842901064479,0.1377538653848115,0.03084266475432733,5
BIOMARKERS,HGB,f1,0.856969696969697,0.8135917855908364,0.9003476083485576,0.04948773396178267,5
BIOMARKERS,LinearSVM,f1,0.7393939393939394,0.5968484848484847,0.881939393939394,0.1626231256363484,5
BIOMARKERS,LogReg,f1,0.7254079254079253,0.6229371460811287,0.8278787047347219,0.1169038919806619,5
BIOMARKERS,RF,f1,0.8751515151515152,0.8046401269382019,0.9456629033648286,0.08044298838410523,5
BIOMARKERS,HGB,mcc,0.7457142857142858,0.669855469483079,0.8215731019454926,0.08654360703349122,5
BIOMARKERS,LinearSVM,mcc,0.5213181108568287,0.25255580559912827,0.7900804161145291,0.30661774711518736,5
BIOMARKERS,LogReg,mcc,0.48581309502879966,0.2773344125674222,0.6942917774901771,0.2378431152261394,5
BIOMARKERS,RF,mcc,0.779047619047619,0.6540157831017288,0.9040794549935092,0.14264269618704703,5
BIOMARKERS,HGB,roc_auc,0.8876190476190476,0.8578692763780971,0.9173688188599982,0.03394005653562941,5
BIOMARKERS,LinearSVM,roc_auc,0.8200000000000001,0.7105808466898454,0.9294191533101547,0.12483095144998821,5
BIOMARKERS,LogReg,roc_auc,0.7514285714285716,0.6515401002886714,0.8513170425684717,0.11395786308027686,5
BIOMARKERS,RF,roc_auc,0.9495238095238097,0.9051929323988681,0.9938546866487512,0.05057492589467336,5
