variant,outer_fold,model,best_inner_score_auc,best_params
FULL,1,LogReg,1.0,"{""clf__C"": 0.1, ""clf__penalty"": ""l1""}"
FULL,1,LinearSVM,0.8099999999999999,"{""clf__C"": 0.01}"
FULL,1,RF,1.0,"{""clf__max_depth"": null, ""clf__max_features"": ""sqrt"", ""clf__min_samples_leaf"": 1, ""clf__min_samples_split"": 2}"
FULL,1,HGB,1.0,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 2, ""clf__max_leaf_nodes"": 15, ""clf__min_samples_leaf"": 10}"
FULL,2,LogReg,1.0,"{""clf__C"": 0.1, ""clf__penalty"": ""l1""}"
FULL,2,LinearSVM,0.9,"{""clf__C"": 0.1}"
FULL,2,RF,1.0,"{""clf__max_depth"": null, ""clf__max_features"": 0.5, ""clf__min_samples_leaf"": 1, ""clf__min_samples_split"": 2}"
FULL,2,HGB,1.0,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 2, ""clf__max_leaf_nodes"": 15, ""clf__min_samples_leaf"": 10}"
FULL,3,LogReg,1.0,"{""clf__C"": 1.0, ""clf__penalty"": ""l1""}"
FULL,3,LinearSVM,0.885,"{""clf__C"": 0.1}"
FULL,3,RF,1.0,"{""clf__max_depth"": null, ""clf__max_features"": ""sqrt"", ""clf__min_samples_leaf"": 1, ""clf__min_samples_split"": 2}"
FULL,3,HGB,1.0,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 2, ""clf__max_leaf_nodes"": 15, ""clf__min_samples_leaf"": 10}"
FULL,4,LogReg,0.99,"{""clf__C"": 0.1, ""clf__penalty"": ""l1""}"
FULL,4,LinearSVM,0.8933333333333333,"{""clf__C"": 0.01}"
FULL,4,RF,1.0,"{""clf__max_depth"": null, ""clf__max_features"": ""sqrt"", ""clf__min_samples_leaf"": 1, ""clf__min_samples_split"": 2}"
FULL,4,HGB,1.0,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 2, ""clf__max_leaf_nodes"": 15, ""clf__min_samples_leaf"": 10}"
FULL,5,LogReg,1.0,"{""clf__C"": 1.0, ""clf__penalty"": ""l1""}"
FULL,5,LinearSVM,0.8633333333333333,"{""clf__C"": 0.1}"
FULL,5,RF,1.0,"{""clf__max_depth"": null, ""clf__max_features"": 0.5, ""clf__min_samples_leaf"": 1, ""clf__min_samples_split"": 2}"
FULL,5,HGB,1.0,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 2, ""clf__max_leaf_nodes"": 15, ""clf__min_samples_leaf"": 10}"
CLINICAL,1,LogReg,0.5,"{""clf__C"": 0.01, ""clf__penalty"": ""l1""}"
CLINICAL,1,LinearSVM,0.47000000000000003,"{""clf__C"": 0.01}"
CLINICAL,1,RF,0.6300000000000001,"{""clf__max_depth"": 3, ""clf__max_features"": ""log2"", ""clf__min_samples_leaf"": 4, ""clf__min_samples_split"": 2}"
CLINICAL,1,HGB,0.5,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 2, ""clf__max_leaf_nodes"": 15, ""clf__min_samples_leaf"": 20}"
CLINICAL,2,LogReg,0.5900000000000001,"{""clf__C"": 10.0, ""clf__penalty"": ""l1""}"
CLINICAL,2,LinearSVM,0.6400000000000001,"{""clf__C"": 0.1}"
CLINICAL,2,RF,0.5900000000000001,"{""clf__max_depth"": null, ""clf__max_features"": ""log2"", ""clf__min_samples_leaf"": 4, ""clf__min_samples_split"": 10}"
CLINICAL,2,HGB,0.5449999999999999,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 2, ""clf__max_leaf_nodes"": 15, ""clf__min_samples_leaf"": 10}"
CLINICAL,3,LogReg,0.5349999999999999,"{""clf__C"": 0.01, ""clf__penalty"": ""l2""}"
CLINICAL,3,LinearSVM,0.5933333333333333,"{""clf__C"": 0.1}"
CLINICAL,3,RF,0.7050000000000001,"{""clf__max_depth"": null, ""clf__max_features"": ""log2"", ""clf__min_samples_leaf"": 1, ""clf__min_samples_split"": 5}"
CLINICAL,3,HGB,0.62,"{""clf__learning_rate"": 0.1, ""clf__max_depth"": 2, ""clf__max_leaf_nodes"": 15, ""clf__min_samples_leaf"": 10}"
CLINICAL,4,LogReg,0.5916666666666667,"{""clf__C"": 0.1, ""clf__penalty"": ""l2""}"
CLINICAL,4,LinearSVM,0.5833333333333334,"{""clf__C"": 0.01}"
CLINICAL,4,RF,0.5900000000000001,"{""clf__max_depth"": null, ""clf__max_features"": ""log2"", ""clf__min_samples_leaf"": 4, ""clf__min_samples_split"": 10}"
CLINICAL,4,HGB,0.5,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 2, ""clf__max_leaf_nodes"": 15, ""clf__min_samples_leaf"": 20}"
CLINICAL,5,LogReg,0.5,"{""clf__C"": 0.01, ""clf__penalty"": ""l1""}"
CLINICAL,5,LinearSVM,0.425,"{""clf__C"": 0.01}"
CLINICAL,5,RF,0.5316666666666666,"{""clf__max_depth"": null, ""clf__max_features"": ""sqrt"", ""clf__min_samples_leaf"": 4, ""clf__min_samples_split"": 2}"
CLINICAL,5,HGB,0.5916666666666666,"{""clf__learning_rate"": 0.1, ""clf__max_depth"": 2, ""clf__max_leaf_nodes"": 15, ""clf__min_samples_leaf"": 10}"
BIOMARKERS,1,LogReg,0.89,"{""clf__C"": 0.1, ""clf__penalty"": ""l1""}"
BIOMARKERS,1,LinearSVM,0.85,"{""clf__C"": 10.0}"
BIOMARKERS,1,RF,0.9199999999999999,"{""clf__max_depth"": null, ""clf__max_features"": ""sqrt"", ""clf__min_samples_leaf"": 1, ""clf__min_samples_split"": 5}"
