variant,outer_fold,model,row_id,y_true,y_prob
FULL,1,LogReg,9,0,0.3346839872738334
FULL,1,LogReg,10,0,0.42383271360328784
FULL,1,LogReg,12,0,0.4110155055994688
FULL,1,LogReg,16,0,0.5669464396335944
FULL,1,LogReg,17,0,0.563453300662006
FULL,1,LogReg,19,0,0.5643139064584158
FULL,1,LogReg,31,0,0.2612753273702065
FULL,1,LogReg,32,1,0.7032481675094302
FULL,1,LogReg,43,1,0.7240056127291755
FULL,1,LogReg,44,1,0.5656040493565658
FULL,1,LogReg,49,1,0.5656040493565658
FULL,1,LogReg,50,1,0.6819444928052666
FULL,1,LinearSVM,9,0,0.3952911826722393
FULL,1,LinearSVM,10,0,0.4532359927080538
FULL,1,LinearSVM,12,0,0.3292195994116741
FULL,1,LinearSVM,16,0,0.10161259855356197
FULL,1,LinearSVM,17,0,0.18899582436617587
FULL,1,LinearSVM,19,0,0.2346965741721007
FULL,1,LinearSVM,31,0,0.1359637204992218
FULL,1,LinearSVM,32,1,0.697218453170996
FULL,1,LinearSVM,43,1,0.731471231924234
FULL,1,LinearSVM,44,1,1.0000000994736041e-07
FULL,1,LinearSVM,49,1,0.5066339106378568
FULL,1,LinearSVM,50,1,0.7795012090663597
FULL,1,RF,9,0,0.474
FULL,1,RF,10,0,0.362
FULL,1,RF,12,0,0.36
FULL,1,RF,16,0,0.176
FULL,1,RF,17,0,0.274
FULL,1,RF,19,0,0.3
FULL,1,RF,31,0,0.278
FULL,1,RF,32,1,0.572
FULL,1,RF,43,1,0.682
FULL,1,RF,44,1,0.446
FULL,1,RF,49,1,0.512
FULL,1,RF,50,1,0.706
FULL,1,HGB,9,0,0.02193900157272943
FULL,1,HGB,10,0,0.02193900157272943
FULL,1,HGB,12,0,0.02193900157272943
FULL,1,HGB,16,0,0.02193900157272943
FULL,1,HGB,17,0,0.02193900157272943
FULL,1,HGB,19,0,0.02193900157272943
FULL,1,HGB,31,0,0.02193900157272943
FULL,1,HGB,32,1,0.9726670308629045
FULL,1,HGB,43,1,0.9726670308629045
FULL,1,HGB,44,1,0.02193900157272943
FULL,1,HGB,49,1,0.02193900157272943
FULL,1,HGB,50,1,0.9726670308629045
FULL,2,LogReg,4,0,0.36047115388505685
FULL,2,LogReg,5,0,0.366870533039723
FULL,2,LogReg,8,0,0.3548158896440433
FULL,2,LogReg,13,0,0.5619509313719583
FULL,2,LogReg,14,0,0.48969886134527374
FULL,2,LogReg,26,0,0.23171917480211696
FULL,2,LogReg,27,0,0.23611096236325452
FULL,2,LogReg,33,1,0.7097897113553934
FULL,2,LogReg,37,1,0.7129583432845126
FULL,2,LogReg,46,1,0.7123484305338946
FULL,2,LogReg,48,1,0.7148520408971001
FULL,2,LogReg,56,1,0.6832767512280453
FULL,2,LinearSVM,4,0,0.6761881970646973
FULL,2,LinearSVM,5,0,0.041849549443721906
FULL,2,LinearSVM,8,0,0.12469215984936914
FULL,2,LinearSVM,13,0,0.5827141307357236
FULL,2,LinearSVM,14,0,0.5747856358533926
FULL,2,LinearSVM,26,0,0.001459272219350049
FULL,2,LinearSVM,27,0,0.002856415430785147
FULL,2,LinearSVM,33,1,0.7018576609499888
FULL,2,LinearSVM,37,1,0.994522610745275
FULL,2,LinearSVM,46,1,0.5
FULL,2,LinearSVM,48,1,0.6267412484762661
FULL,2,LinearSVM,56,1,0.8597428537493262
FULL,2,RF,4,0,0.042
FULL,2,RF,5,0,0.126
FULL,2,RF,8,0,0.142
FULL,2,RF,13,0,0.342
FULL,2,RF,14,0,0.216
FULL,2,RF,26,0,0.128
FULL,2,RF,27,0,0.006
FULL,2,RF,33,1,0.934
FULL,2,RF,37,1,0.882
FULL,2,RF,46,1,0.938
FULL,2,RF,48,1,0.798
FULL,2,RF,56,1,0.862
FULL,2,HGB,4,0,0.022253390175871888
FULL,2,HGB,5,0,0.06077445405738373
FULL,2,HGB,8,0,0.09943686859805247
FULL,2,HGB,13,0,0.0856230434975557
FULL,2,HGB,14,0,0.4143102286356818
FULL,2,HGB,26,0,0.031097636986880294
FULL,2,HGB,27,0,0.020290996088677373
FULL,2,HGB,33,1,0.8742515626290388
FULL,2,HGB,37,1,0.8742515626290388
FULL,2,HGB,46,1,0.9619584541665535
FULL,2,HGB,48,1,0.92766896069326
FULL,2,HGB,56,1,0.8850488779360196
FULL,3,LogReg,1,0,0.002022766344118265
FULL,3,LogReg,3,0,0.0009423846557636499
FULL,3,LogReg,11,0,0.013352816841040335
FULL,3,LogReg,23,0,0.008790379725409872
FULL,3,LogReg,28,0,0.0004572327539634118
FULL,3,LogReg,30,0,6.96041156922293e-05
FULL,3,LogReg,35,1,0.9483565878212149
FULL,3,LogReg,40,1,0.9801441671694531
FULL,3,LogReg,41,1,0.9812426338109418
FULL,3,LogReg,51,1,0.9403065306451539
FULL,3,LogReg,54,1,0.9365306609646878
FULL,3,LinearSVM,1,0,0.004278057592902968
FULL,3,LinearSVM,3,0,0.0017189013167450454
FULL,3,LinearSVM,11,0,0.016207949578080298
FULL,3,LinearSVM,23,0,0.02856670480871138
FULL,3,LinearSVM,28,0,0.010860021194989663
FULL,3,LinearSVM,30,0,0.0009451785973777099
FULL,3,LinearSVM,35,1,0.14411998553193914
