variant,outer_fold,model,roc_auc,auprc,accuracy,f1,mcc,brier,n_test,pos_rate_test,n_features_train
FULL,1,LogReg,0.942857142857143,0.9333333333333333,0.75,0.7692307692307693,0.5976143046671968,0.1774164747395953,12,0.4166666666666667,69
FULL,1,LinearSVM,0.8,0.8833333333333333,0.9166666666666666,0.8888888888888888,0.8366600265340756,0.1704575554311799,12,0.4166666666666667,69
FULL,1,RF,0.9714285714285715,0.9666666666666666,0.9166666666666666,0.8888888888888888,0.8366600265340756,0.13953833333333335,12,0.4166666666666667,69
FULL,1,HGB,0.8,0.7666666666666666,0.8333333333333334,0.75,0.6831300510639732,0.15990142878539204,12,0.4166666666666667,69
FULL,2,LogReg,1.0,1.0,0.9166666666666666,0.9090909090909091,0.8451542547285166,0.12387042229719963,12,0.4166666666666667,69
FULL,2,LinearSVM,0.8857142857142857,0.885,0.75,0.7692307692307693,0.5976143046671968,0.1368656325069875,12,0.4166666666666667,69
FULL,2,RF,1.0,1.0,1.0,1.0,1.0,0.02498466666666667,12,0.4166666666666667,69
FULL,2,HGB,1.0,1.0,1.0,1.0,1.0,0.020496461256507448,12,0.4166666666666667,69
FULL,3,LogReg,1.0,1.0,1.0,1.0,1.0,0.0010241422053421899,11,0.45454545454545453,69
FULL,3,LinearSVM,1.0,1.0,0.9090909090909091,0.8888888888888888,0.8280786712108251,0.08156112306934014,11,0.45454545454545453,69
FULL,3,RF,1.0,1.0,1.0,1.0,1.0,0.10847454545454548,11,0.45454545454545453,69
FULL,3,HGB,1.0,1.0,1.0,1.0,1.0,0.0023071399067322927,11,0.45454545454545453,69
FULL,4,LogReg,1.0,1.0,0.7272727272727273,0.7692307692307693,0.5590169943749475,0.1543967813480436,11,0.45454545454545453,69
FULL,4,LinearSVM,0.9,0.925,0.8181818181818182,0.8,0.6333333333333333,0.13935715816563635,11,0.45454545454545453,69
FULL,4,RF,1.0,1.0,1.0,1.0,1.0,0.10563199999999999,11,0.45454545454545453,69
FULL,4,HGB,1.0,1.0,1.0,1.0,1.0,0.009807604915746377,11,0.45454545454545453,69
FULL,5,LogReg,1.0,1.0,1.0,1.0,1.0,0.003246179919181617,11,0.45454545454545453,69
FULL,5,LinearSVM,1.0,1.0,1.0,1.0,1.0,0.03187969573324719,11,0.45454545454545453,69
FULL,5,RF,1.0,1.0,1.0,1.0,1.0,0.009191636363636362,11,0.45454545454545453,69
FULL,5,HGB,1.0,1.0,1.0,1.0,1.0,0.0036824832470614367,11,0.45454545454545453,69
CLINICAL,1,LogReg,0.5,0.4166666666666667,0.4166666666666667,0.5882352941176471,0.0,0.25,12,0.4166666666666667,58
CLINICAL,1,LinearSVM,0.6285714285714286,0.6442424242424243,0.5833333333333334,0.2857142857142857,0.07559289460184544,0.21947190136172548,12,0.4166666666666667,58
CLINICAL,1,RF,0.4571428571428572,0.41349206349206347,0.4166666666666667,0.36363636363636365,-0.1690308509457033,0.24068355271197128,12,0.4166666666666667,58
CLINICAL,1,HGB,0.5428571428571428,0.5972222222222221,0.4166666666666667,0.36363636363636365,-0.1690308509457033,0.2767091585693502,12,0.4166666666666667,58
CLINICAL,2,LogReg,0.34285714285714286,0.411060606060606,0.5,0.25,-0.09759000729485331,0.4891543970112466,12,0.4166666666666667,58
CLINICAL,2,LinearSVM,0.6285714285714286,0.6909090909090909,0.5833333333333334,0.0,0.0,0.24011100486856338,12,0.4166666666666667,58
CLINICAL,2,RF,0.7142857142857143,0.75,0.6666666666666666,0.5,0.29277002188455997,0.2243434601526991,12,0.4166666666666667,58
CLINICAL,2,HGB,0.5142857142857142,0.4642857142857143,0.5833333333333334,0.4444444444444444,0.11952286093343936,0.2944893061759178,12,0.4166666666666667,58
CLINICAL,3,LogReg,0.43333333333333335,0.58995670995671,0.45454545454545453,0.5,-0.06900655593423542,0.25601851872000386,11,0.45454545454545453,58
CLINICAL,3,LinearSVM,0.26666666666666666,0.3899567099567099,0.36363636363636365,0.0,-0.43033148291193524,0.27023368516540414,11,0.45454545454545453,58
CLINICAL,3,RF,0.5,0.5,0.45454545454545453,0.0,-0.28867513459481287,0.24894838183614248,11,0.45454545454545453,58
CLINICAL,3,HGB,0.4666666666666667,0.4666666666666667,0.45454545454545453,0.0,-0.28867513459481287,0.4076381190939504,11,0.45454545454545453,58
CLINICAL,4,LogReg,0.5,0.5109090909090909,0.5454545454545454,0.5454545454545454,0.1,0.28706152894245973,11,0.45454545454545453,58
CLINICAL,4,LinearSVM,0.5333333333333334,0.5968253968253969,0.5454545454545454,0.0,0.0,0.24818640734784078,11,0.45454545454545453,58
CLINICAL,4,RF,0.7000000000000001,0.7742424242424242,0.7272727272727273,0.7272727272727273,0.4666666666666667,0.24015227731781705,11,0.45454545454545453,58
CLINICAL,4,HGB,0.7666666666666666,0.8333333333333333,0.6363636363636364,0.6666666666666666,0.3105295017040594,0.20402764949874655,11,0.45454545454545453,58
CLINICAL,5,LogReg,0.5,0.45454545454545453,0.45454545454545453,0.625,0.0,0.25,11,0.45454545454545453,58
CLINICAL,5,LinearSVM,0.36666666666666664,0.42126984126984124,0.36363636363636365,0.0,-0.43033148291193524,0.28248292999894864,11,0.45454545454545453,58
CLINICAL,5,RF,0.6000000000000001,0.6444444444444444,0.5454545454545454,0.4444444444444444,0.06900655593423542,0.22891143790814078,11,0.45454545454545453,58
CLINICAL,5,HGB,0.5666666666666667,0.5533333333333332,0.5454545454545454,0.4444444444444444,0.06900655593423542,0.30883073182736154,11,0.45454545454545453,58
BIOMARKERS,1,LogReg,0.6571428571428571,0.655,0.75,0.7692307692307693,0.5976143046671968,0.20561137876880262,12,0.4166666666666667,10
BIOMARKERS,1,LinearSVM,0.9714285714285715,0.9666666666666666,0.9166666666666666,0.9090909090909091,0.8451542547285166,0.09802900308874461,12,0.4166666666666667,10
BIOMARKERS,1,RF,0.9714285714285715,0.9666666666666666,0.8333333333333334,0.8333333333333334,0.7142857142857143,0.12151593527924498,12,0.4166666666666667,10
