variant,model,oof_roc_auc,oof_auprc,oof_brier,n,pos_rate
BIOMARKERS,HGB,0.87875,0.8029287372787929,0.1186344865459965,57,0.43859649122807015
BIOMARKERS,LinearSVM,0.84125,0.7543195800948382,0.16461942526947396,57,0.43859649122807015
BIOMARKERS,LogReg,0.7987500000000001,0.7131777691680206,0.18840237760433665,57,0.43859649122807015
BIOMARKERS,RF,0.9299999999999999,0.8928080256730953,0.1114693322362291,57,0.43859649122807015
CLINICAL,HGB,0.5362500000000001,0.4981466360651735,0.29789198388708527,57,0.43859649122807015
CLINICAL,LinearSVM,0.45375000000000004,0.4440812994681072,0.2513145284631157,57,0.43859649122807015
CLINICAL,LogReg,0.49000000000000005,0.4484253535683965,0.30866198751617646,57,0.43859649122807015
CLINICAL,RF,0.6025,0.5796704034296996,0.23646416179051138,57,0.43859649122807015
FULL,HGB,0.94125,0.9584615384615386,0.041027091039784816,57,0.43859649122807015
FULL,LinearSVM,0.9137500000000001,0.9321723633092054,0.11348519301593807,57,0.43859649122807015
FULL,LogReg,0.9925,0.9914285714285714,0.09404878776561021,57,0.43859649122807015
FULL,RF,0.99875,0.9984615384615385,0.07772905263157893,57,0.43859649122807015
