threshold,net_benefit,tp,fp,N,variant,model
0.01,0.4339890129363813,25,26,57,BIOMARKERS,HGB
0.02,0.4303616183315431,25,23,57,BIOMARKERS,HGB
0.03,0.42828721287755467,25,19,57,BIOMARKERS,HGB
0.04,0.4269005847953216,25,16,57,BIOMARKERS,HGB
0.05,0.4247460757156048,25,15,57,BIOMARKERS,HGB
0.060000000000000005,0.42179917879805895,25,15,57,BIOMARKERS,HGB
0.06999999999999999,0.42142991888322956,25,13,57,BIOMARKERS,HGB
0.08,0.42181540808543094,25,11,57,BIOMARKERS,HGB
0.09,0.42124542124542125,25,10,57,BIOMARKERS,HGB
0.09999999999999999,0.4191033138401559,25,10,57,BIOMARKERS,HGB
0.11,0.4190814113936526,25,9,57,BIOMARKERS,HGB
0.12,0.41706539074960125,25,9,57,BIOMARKERS,HGB
0.13,0.41500302480338774,25,9,57,BIOMARKERS,HGB
0.14,0.4128926968584251,25,9,57,BIOMARKERS,HGB
0.15000000000000002,0.4107327141382869,25,9,57,BIOMARKERS,HGB
0.16,0.4118629908103592,25,8,57,BIOMARKERS,HGB
0.17,0.4098499260198689,25,8,57,BIOMARKERS,HGB
0.18000000000000002,0.40778776208814715,25,8,57,BIOMARKERS,HGB
0.19,0.40567468052848166,25,8,57,BIOMARKERS,HGB
0.2,0.40350877192982454,25,8,57,BIOMARKERS,HGB
0.21000000000000002,0.4012880302020875,25,8,57,BIOMARKERS,HGB
0.22,0.3990103463787674,25,8,57,BIOMARKERS,HGB
0.23,0.3966735019366598,25,8,57,BIOMARKERS,HGB
0.24000000000000002,0.39427516158818093,25,8,57,BIOMARKERS,HGB
0.25,0.391812865497076,25,8,57,BIOMARKERS,HGB
0.26,0.3892840208629682,25,8,57,BIOMARKERS,HGB
0.27,0.3866858928142273,25,8,57,BIOMARKERS,HGB
0.28,0.3840155945419103,25,8,57,BIOMARKERS,HGB
0.29000000000000004,0.38127007659995055,25,8,57,BIOMARKERS,HGB
0.3,0.37844611528822053,25,8,57,BIOMARKERS,HGB
0.31,0.3755403000254258,25,8,57,BIOMARKERS,HGB
0.32,0.3725490196078431,25,8,57,BIOMARKERS,HGB
0.33,0.3694684472374967,25,8,57,BIOMARKERS,HGB
0.34,0.3487506645401382,24,8,57,BIOMARKERS,HGB
0.35000000000000003,0.34547908232118757,24,8,57,BIOMARKERS,HGB
0.36000000000000004,0.3421052631578947,24,8,57,BIOMARKERS,HGB
0.37,0.3386243386243386,24,8,57,BIOMARKERS,HGB
0.38,0.3350311262026033,24,8,57,BIOMARKERS,HGB
0.39,0.33132010353753233,24,8,57,BIOMARKERS,HGB
0.4,0.32748538011695905,24,8,57,BIOMARKERS,HGB
0.41000000000000003,0.3235206660719595,24,8,57,BIOMARKERS,HGB
0.42000000000000004,0.3194192377495462,24,8,57,BIOMARKERS,HGB
0.43,0.3151738996614343,24,8,57,BIOMARKERS,HGB
0.44,0.3107769423558897,24,8,57,BIOMARKERS,HGB
0.45,0.3062200956937799,24,8,57,BIOMARKERS,HGB
0.46,0.3014944769330734,24,8,57,BIOMARKERS,HGB
0.47000000000000003,0.2965905329361138,24,8,57,BIOMARKERS,HGB
0.48000000000000004,0.30769230769230765,24,7,57,BIOMARKERS,HGB
0.49,0.30306157550739593,24,7,57,BIOMARKERS,HGB
0.5,0.2982456140350877,24,7,57,BIOMARKERS,HGB
0.51,0.2932330827067669,24,7,57,BIOMARKERS,HGB
0.52,0.2880116959064327,24,7,57,BIOMARKERS,HGB
0.53,0.2825681224337439,24,7,57,BIOMARKERS,HGB
0.54,0.2768878718535469,24,7,57,BIOMARKERS,HGB
0.55,0.2709551656920077,24,7,57,BIOMARKERS,HGB
0.56,0.2647527910685805,24,7,57,BIOMARKERS,HGB
0.5700000000000001,0.2407180742554059,23,7,57,BIOMARKERS,HGB
0.5800000000000001,0.2339181286549707,23,7,57,BIOMARKERS,HGB
0.59,0.20924261874197692,22,7,57,BIOMARKERS,HGB
0.6,0.1842105263157895,21,7,57,BIOMARKERS,HGB
0.61,0.1763382816014395,21,7,57,BIOMARKERS,HGB
0.62,0.1680517082179132,21,7,57,BIOMARKERS,HGB
0.63,0.1891891891891892,21,6,57,BIOMARKERS,HGB
0.64,0.18128654970760233,21,6,57,BIOMARKERS,HGB
0.65,0.17293233082706763,21,6,57,BIOMARKERS,HGB
0.66,0.16408668730650153,21,6,57,BIOMARKERS,HGB
0.67,0.15470494417862835,21,6,57,BIOMARKERS,HGB
0.68,0.1447368421052631,21,6,57,BIOMARKERS,HGB
0.6900000000000001,0.1341256366723259,21,6,57,BIOMARKERS,HGB
0.7000000000000001,0.12280701754385959,21,6,57,BIOMARKERS,HGB
0.7100000000000001,0.11070780399274033,21,6,57,BIOMARKERS,HGB
0.72,0.08020050125313283,20,6,57,BIOMARKERS,HGB
0.73,0.06627680311890843,20,6,57,BIOMARKERS,HGB
0.74,0.06612685560053982,18,5,57,BIOMARKERS,HGB
0.75,0.03508771929824561,17,5,57,BIOMARKERS,HGB
0.76,0.020467836257309913,17,5,57,BIOMARKERS,HGB
0.77,-0.012967200610221219,16,5,57,BIOMARKERS,HGB
0.78,-0.06539074960127594,14,5,57,BIOMARKERS,HGB
0.79,-0.11946532999164583,12,5,57,BIOMARKERS,HGB
0.8,-0.08771929824561409,11,4,57,BIOMARKERS,HGB
0.81,-0.1061865189289013,11,4,57,BIOMARKERS,HGB
0.8200000000000001,-0.1267056530214426,11,4,57,BIOMARKERS,HGB
0.8300000000000001,-0.16718266253869984,10,4,57,BIOMARKERS,HGB
0.8400000000000001,-0.2280701754385967,8,4,57,BIOMARKERS,HGB
0.85,-0.25730994152046777,8,4,57,BIOMARKERS,HGB
0.86,-0.18295739348370926,8,3,57,BIOMARKERS,HGB
0.87,-0.0944669365721997,8,2,57,BIOMARKERS,HGB
0.88,-0.11695906432748537,8,2,57,BIOMARKERS,HGB
0.89,-0.14354066985645936,8,2,57,BIOMARKERS,HGB
0.9,-0.17543859649122812,8,2,57,BIOMARKERS,HGB
0.91,-0.03703703703703709,8,1,57,BIOMARKERS,HGB
0.92,-0.09649122807017554,6,1,57,BIOMARKERS,HGB
0.93,-0.14536340852130342,5,1,57,BIOMARKERS,HGB
0.9400000000000001,-0.18713450292397688,5,1,57,BIOMARKERS,HGB
0.9500000000000001,-0.24561403508771978,5,1,57,BIOMARKERS,HGB
0.9600000000000001,-0.35087719298245695,4,1,57,BIOMARKERS,HGB
0.97,-0.49707602339181234,4,1,57,BIOMARKERS,HGB
0.98,0.05263157894736842,3,0,57,BIOMARKERS,HGB
0.99,0.017543859649122806,1,0,57,BIOMARKERS,HGB
0.01,0.4332801701222754,25,30,57,BIOMARKERS,LinearSVM
0.02,0.4282133906194056,25,29,57,BIOMARKERS,LinearSVM
0.03,0.4228612769035992,25,29,57,BIOMARKERS,LinearSVM
0.04,0.42105263157894735,25,24,57,BIOMARKERS,LinearSVM
0.05,0.4173591874422899,25,23,57,BIOMARKERS,LinearSVM
0.060000000000000005,0.41620007465472186,25,20,57,BIOMARKERS,LinearSVM
0.06999999999999999,0.4121863799283154,25,20,57,BIOMARKERS,LinearSVM
0.08,0.4080854309687261,25,20,57,BIOMARKERS,LinearSVM
0.09,0.4038943512627723,25,20,57,BIOMARKERS,LinearSVM
0.09999999999999999,0.3996101364522417,25,20,57,BIOMARKERS,LinearSVM
0.11,0.397397989355411,25,19,57,BIOMARKERS,LinearSVM
0.12,0.3931419457735247,25,19,57,BIOMARKERS,LinearSVM
0.13,0.3940310546481145,25,17,57,BIOMARKERS,LinearSVM
0.14,0.39004487964096285,25,17,57,BIOMARKERS,LinearSVM
0.15000000000000002,0.38596491228070173,25,17,57,BIOMARKERS,LinearSVM
0.16,0.3817878028404344,25,17,57,BIOMARKERS,LinearSVM
0.17,0.35996618051151974,24,17,57,BIOMARKERS,LinearSVM
0.18000000000000002,0.355584082156611,24,17,57,BIOMARKERS,LinearSVM
0.19,0.3510937838423218,24,17,57,BIOMARKERS,LinearSVM
0.2,0.3464912280701754,24,17,57,BIOMARKERS,LinearSVM
0.21000000000000002,0.34177215189873417,24,17,57,BIOMARKERS,LinearSVM
0.22,0.336932073774179,24,17,57,BIOMARKERS,LinearSVM
0.23,0.33196627933470035,24,17,57,BIOMARKERS,LinearSVM
0.24000000000000002,0.3268698060941828,24,17,57,BIOMARKERS,LinearSVM
0.25,0.30409356725146197,23,17,57,BIOMARKERS,LinearSVM
0.26,0.2987197724039829,23,17,57,BIOMARKERS,LinearSVM
