variant,model,precision,recall,threshold
BIOMARKERS,RF,0.43859649122807015,1.0,0.008
BIOMARKERS,RF,0.44642857142857145,1.0,0.012
BIOMARKERS,RF,0.45454545454545453,1.0,0.024
BIOMARKERS,RF,0.46296296296296297,1.0,0.034
BIOMARKERS,RF,0.4716981132075472,1.0,0.048
BIOMARKERS,RF,0.4807692307692308,1.0,0.0851940239147972
BIOMARKERS,RF,0.49019607843137253,1.0,0.0925239145397408
BIOMARKERS,RF,0.5,1.0,0.096
BIOMARKERS,RF,0.5102040816326531,1.0,0.11
BIOMARKERS,RF,0.5319148936170213,1.0,0.118976172887167
BIOMARKERS,RF,0.5434782608695652,1.0,0.134
BIOMARKERS,RF,0.5555555555555556,1.0,0.144
BIOMARKERS,RF,0.5681818181818182,1.0,0.1446313029910498
BIOMARKERS,RF,0.5813953488372093,1.0,0.178
BIOMARKERS,RF,0.5952380952380952,1.0,0.2013083539402637
BIOMARKERS,RF,0.6097560975609756,1.0,0.206
BIOMARKERS,RF,0.625,1.0,0.2060954955433227
BIOMARKERS,RF,0.6410256410256411,1.0,0.216
BIOMARKERS,RF,0.6578947368421053,1.0,0.2325777387554529
BIOMARKERS,RF,0.6756756756756757,1.0,0.2458557032056588
BIOMARKERS,RF,0.6944444444444444,1.0,0.304
BIOMARKERS,RF,0.7142857142857143,1.0,0.36
BIOMARKERS,RF,0.7058823529411765,0.96,0.378
BIOMARKERS,RF,0.7272727272727273,0.96,0.39
BIOMARKERS,RF,0.75,0.96,0.4174063891351204
BIOMARKERS,RF,0.7741935483870968,0.96,0.4565954106454125
BIOMARKERS,RF,0.8,0.96,0.5277240395505263
BIOMARKERS,RF,0.8275862068965517,0.96,0.538
BIOMARKERS,RF,0.8571428571428571,0.96,0.572
BIOMARKERS,RF,0.8518518518518519,0.92,0.578
BIOMARKERS,RF,0.8461538461538461,0.88,0.592
BIOMARKERS,RF,0.84,0.84,0.6024866436796416
BIOMARKERS,RF,0.8333333333333334,0.8,0.614
BIOMARKERS,RF,0.8260869565217391,0.76,0.618
BIOMARKERS,RF,0.8181818181818182,0.72,0.6192253423806988
BIOMARKERS,RF,0.8095238095238095,0.68,0.6410541290739349
BIOMARKERS,RF,0.85,0.68,0.6436245151429113
BIOMARKERS,RF,0.8947368421052632,0.68,0.6448879174059647
BIOMARKERS,RF,0.8888888888888888,0.64,0.654
BIOMARKERS,RF,0.8823529411764706,0.6,0.6656990885870214
BIOMARKERS,RF,0.875,0.56,0.6766197155718287
BIOMARKERS,RF,0.8666666666666667,0.52,0.6824677078069938
BIOMARKERS,RF,0.8571428571428571,0.48,0.688
BIOMARKERS,RF,0.8461538461538461,0.44,0.71
BIOMARKERS,RF,0.8333333333333334,0.4,0.72
BIOMARKERS,RF,0.8181818181818182,0.36,0.7429723450696567
BIOMARKERS,RF,0.9,0.36,0.7476529865490829
BIOMARKERS,RF,0.8888888888888888,0.32,0.7684076058602876
BIOMARKERS,RF,0.875,0.28,0.77
BIOMARKERS,RF,1.0,0.28,0.826
BIOMARKERS,RF,1.0,0.2,0.864
BIOMARKERS,RF,1.0,0.16,0.8702137043425667
BIOMARKERS,RF,1.0,0.12,0.882
BIOMARKERS,RF,1.0,0.08,0.892
BIOMARKERS,RF,1.0,0.04,0.9437601762485882
BIOMARKERS,RF,1.0,0.0,
CLINICAL,RF,0.43859649122807015,1.0,0.2502722221137327
CLINICAL,RF,0.44642857142857145,1.0,0.2729605874491735
CLINICAL,RF,0.45454545454545453,1.0,0.3275130352325491
CLINICAL,RF,0.46296296296296297,1.0,0.3403497177361497
CLINICAL,RF,0.4528301886792453,0.96,0.3519081968211563
CLINICAL,RF,0.46153846153846156,0.96,0.3527162039762671
CLINICAL,RF,0.47058823529411764,0.96,0.3592186359703886
CLINICAL,RF,0.46,0.92,0.3650630783075428
CLINICAL,RF,0.46938775510204084,0.92,0.3967609028322799
CLINICAL,RF,0.4583333333333333,0.88,0.407507681792432
CLINICAL,RF,0.44680851063829785,0.84,0.4114549707363686
CLINICAL,RF,0.45652173913043476,0.84,0.4155046017084606
CLINICAL,RF,0.4666666666666667,0.84,0.4159661109887387
CLINICAL,RF,0.4772727272727273,0.84,0.417038150217863
CLINICAL,RF,0.4883720930232558,0.84,0.4195333646634703
CLINICAL,RF,0.47619047619047616,0.8,0.4290770328428979
CLINICAL,RF,0.4878048780487805,0.8,0.4306602732102627
CLINICAL,RF,0.5,0.8,0.4357896149857133
CLINICAL,RF,0.5128205128205128,0.8,0.4414641349417276
CLINICAL,RF,0.5,0.76,0.4427848826061837
CLINICAL,RF,0.4864864864864865,0.72,0.445128476880031
CLINICAL,RF,0.4722222222222222,0.68,0.4467778640289204
CLINICAL,RF,0.4857142857142857,0.68,0.4477779528106
CLINICAL,RF,0.5,0.68,0.455949430832388
CLINICAL,RF,0.48484848484848486,0.64,0.4664602232073519
CLINICAL,RF,0.5,0.64,0.4681330395765591
CLINICAL,RF,0.5161290322580645,0.64,0.4720278339881956
CLINICAL,RF,0.5333333333333333,0.64,0.4821746276198339
CLINICAL,RF,0.5172413793103449,0.6,0.4837158044087178
CLINICAL,RF,0.5,0.56,0.4837551541780421
CLINICAL,RF,0.5185185185185185,0.56,0.4838499938108447
CLINICAL,RF,0.5384615384615384,0.56,0.4853215672418133
CLINICAL,RF,0.56,0.56,0.4874291487791108
CLINICAL,RF,0.5416666666666666,0.52,0.4926824062322771
CLINICAL,RF,0.5217391304347826,0.48,0.4948267471524239
CLINICAL,RF,0.5454545454545454,0.48,0.4952507440323618
CLINICAL,RF,0.5238095238095238,0.44,0.4972355120581455
CLINICAL,RF,0.5,0.4,0.5010667080503809
CLINICAL,RF,0.47368421052631576,0.36,0.5027822331875893
CLINICAL,RF,0.4444444444444444,0.32,0.5033992956021002
CLINICAL,RF,0.47058823529411764,0.32,0.509121387010319
CLINICAL,RF,0.5,0.32,0.5107720463075729
CLINICAL,RF,0.4666666666666667,0.28,0.5130700935760596
CLINICAL,RF,0.42857142857142855,0.24,0.5150856026669431
CLINICAL,RF,0.46153846153846156,0.24,0.5232812415777669
CLINICAL,RF,0.5,0.24,0.5262366448178943
CLINICAL,RF,0.5454545454545454,0.24,0.5292761919814113
CLINICAL,RF,0.6,0.24,0.5363138813742817
CLINICAL,RF,0.5555555555555556,0.2,0.5412017339763074
CLINICAL,RF,0.625,0.2,0.5472334596394229
CLINICAL,RF,0.7142857142857143,0.2,0.5569367048361401
CLINICAL,RF,0.6666666666666666,0.16,0.5949790787247252
CLINICAL,RF,0.6,0.12,0.6077015188525167
CLINICAL,RF,0.75,0.12,0.6118658346325113
CLINICAL,RF,1.0,0.12,0.6162442523509517
CLINICAL,RF,1.0,0.08,0.6205389634343977
CLINICAL,RF,1.0,0.04,0.6455749510072467
CLINICAL,RF,1.0,0.0,
