threshold,net_benefit,tp,fp,N,variant,model
0.01,0.4339890129363813,25,26,57,BIOMARKERS,HGB
0.02,0.4303616183315431,25,23,57,BIOMARKERS,HGB
0.03,0.4282872128775546,25,19,57,BIOMARKERS,HGB
0.04,0.4269005847953216,25,16,57,BIOMARKERS,HGB
0.05,0.4247460757156048,25,15,57,BIOMARKERS,HGB
0.06,0.4217991787980589,25,15,57,BIOMARKERS,HGB
0.0699999999999999,0.4214299188832295,25,13,57,BIOMARKERS,HGB
0.08,0.4218154080854309,25,11,57,BIOMARKERS,HGB
0.09,0.4212454212454212,25,10,57,BIOMARKERS,HGB
0.0999999999999999,0.4191033138401559,25,10,57,BIOMARKERS,HGB
0.11,0.4190814113936526,25,9,57,BIOMARKERS,HGB
0.12,0.4170653907496012,25,9,57,BIOMARKERS,HGB
0.13,0.4150030248033877,25,9,57,BIOMARKERS,HGB
0.14,0.4128926968584251,25,9,57,BIOMARKERS,HGB
0.15,0.4107327141382869,25,9,57,BIOMARKERS,HGB
0.16,0.4118629908103592,25,8,57,BIOMARKERS,HGB
0.17,0.4098499260198689,25,8,57,BIOMARKERS,HGB
0.18,0.4077877620881471,25,8,57,BIOMARKERS,HGB
0.19,0.4056746805284816,25,8,57,BIOMARKERS,HGB
0.2,0.4035087719298245,25,8,57,BIOMARKERS,HGB
0.21,0.4012880302020875,25,8,57,BIOMARKERS,HGB
0.22,0.3990103463787674,25,8,57,BIOMARKERS,HGB
0.23,0.3966735019366598,25,8,57,BIOMARKERS,HGB
0.24,0.3942751615881809,25,8,57,BIOMARKERS,HGB
0.25,0.391812865497076,25,8,57,BIOMARKERS,HGB
0.26,0.3892840208629682,25,8,57,BIOMARKERS,HGB
0.27,0.3866858928142273,25,8,57,BIOMARKERS,HGB
0.28,0.3840155945419103,25,8,57,BIOMARKERS,HGB
0.29,0.3812700765999505,25,8,57,BIOMARKERS,HGB
0.3,0.3784461152882205,25,8,57,BIOMARKERS,HGB
0.31,0.3755403000254258,25,8,57,BIOMARKERS,HGB
0.32,0.3725490196078431,25,8,57,BIOMARKERS,HGB
0.33,0.3694684472374967,25,8,57,BIOMARKERS,HGB
0.34,0.3487506645401382,24,8,57,BIOMARKERS,HGB
0.35,0.3454790823211875,24,8,57,BIOMARKERS,HGB
0.36,0.3421052631578947,24,8,57,BIOMARKERS,HGB
0.37,0.3386243386243386,24,8,57,BIOMARKERS,HGB
0.38,0.3350311262026033,24,8,57,BIOMARKERS,HGB
0.39,0.3313201035375323,24,8,57,BIOMARKERS,HGB
0.4,0.327485380116959,24,8,57,BIOMARKERS,HGB
0.41,0.3235206660719595,24,8,57,BIOMARKERS,HGB
0.42,0.3194192377495462,24,8,57,BIOMARKERS,HGB
0.43,0.3151738996614343,24,8,57,BIOMARKERS,HGB
0.44,0.3107769423558897,24,8,57,BIOMARKERS,HGB
0.45,0.3062200956937799,24,8,57,BIOMARKERS,HGB
0.46,0.3014944769330734,24,8,57,BIOMARKERS,HGB
0.47,0.2965905329361138,24,8,57,BIOMARKERS,HGB
0.48,0.3076923076923076,24,7,57,BIOMARKERS,HGB
0.49,0.3030615755073959,24,7,57,BIOMARKERS,HGB
0.5,0.2982456140350877,24,7,57,BIOMARKERS,HGB
0.51,0.2932330827067669,24,7,57,BIOMARKERS,HGB
0.52,0.2880116959064327,24,7,57,BIOMARKERS,HGB
0.53,0.2825681224337439,24,7,57,BIOMARKERS,HGB
0.54,0.2768878718535469,24,7,57,BIOMARKERS,HGB
0.55,0.2709551656920077,24,7,57,BIOMARKERS,HGB
0.56,0.2647527910685805,24,7,57,BIOMARKERS,HGB
0.5700000000000001,0.2407180742554059,23,7,57,BIOMARKERS,HGB
0.5800000000000001,0.2339181286549707,23,7,57,BIOMARKERS,HGB
0.59,0.2092426187419769,22,7,57,BIOMARKERS,HGB
0.6,0.1842105263157895,21,7,57,BIOMARKERS,HGB
0.61,0.1763382816014395,21,7,57,BIOMARKERS,HGB
0.62,0.1680517082179132,21,7,57,BIOMARKERS,HGB
0.63,0.1891891891891892,21,6,57,BIOMARKERS,HGB
0.64,0.1812865497076023,21,6,57,BIOMARKERS,HGB
0.65,0.1729323308270676,21,6,57,BIOMARKERS,HGB
0.66,0.1640866873065015,21,6,57,BIOMARKERS,HGB
0.67,0.1547049441786283,21,6,57,BIOMARKERS,HGB
0.68,0.1447368421052631,21,6,57,BIOMARKERS,HGB
0.6900000000000001,0.1341256366723259,21,6,57,BIOMARKERS,HGB
0.7000000000000001,0.1228070175438595,21,6,57,BIOMARKERS,HGB
0.7100000000000001,0.1107078039927403,21,6,57,BIOMARKERS,HGB
0.72,0.0802005012531328,20,6,57,BIOMARKERS,HGB
0.73,0.0662768031189084,20,6,57,BIOMARKERS,HGB
0.74,0.0661268556005398,18,5,57,BIOMARKERS,HGB
0.75,0.0350877192982456,17,5,57,BIOMARKERS,HGB
0.76,0.0204678362573099,17,5,57,BIOMARKERS,HGB
0.77,-0.0129672006102212,16,5,57,BIOMARKERS,HGB
0.78,-0.0653907496012759,14,5,57,BIOMARKERS,HGB
0.79,-0.1194653299916458,12,5,57,BIOMARKERS,HGB
0.8,-0.087719298245614,11,4,57,BIOMARKERS,HGB
0.81,-0.1061865189289013,11,4,57,BIOMARKERS,HGB
0.8200000000000001,-0.1267056530214426,11,4,57,BIOMARKERS,HGB
0.8300000000000001,-0.1671826625386998,10,4,57,BIOMARKERS,HGB
0.8400000000000001,-0.2280701754385967,8,4,57,BIOMARKERS,HGB
0.85,-0.2573099415204677,8,4,57,BIOMARKERS,HGB
0.86,-0.1829573934837092,8,3,57,BIOMARKERS,HGB
0.87,-0.0944669365721997,8,2,57,BIOMARKERS,HGB
0.88,-0.1169590643274853,8,2,57,BIOMARKERS,HGB
0.89,-0.1435406698564593,8,2,57,BIOMARKERS,HGB
0.9,-0.1754385964912281,8,2,57,BIOMARKERS,HGB
0.91,-0.037037037037037,8,1,57,BIOMARKERS,HGB
0.92,-0.0964912280701755,6,1,57,BIOMARKERS,HGB
0.93,-0.1453634085213034,5,1,57,BIOMARKERS,HGB
0.94,-0.1871345029239768,5,1,57,BIOMARKERS,HGB
0.95,-0.2456140350877197,5,1,57,BIOMARKERS,HGB
0.96,-0.3508771929824569,4,1,57,BIOMARKERS,HGB
0.97,-0.4970760233918123,4,1,57,BIOMARKERS,HGB
0.98,0.0526315789473684,3,0,57,BIOMARKERS,HGB
0.99,0.0175438596491228,1,0,57,BIOMARKERS,HGB
0.01,0.4332801701222754,25,30,57,BIOMARKERS,LinearSVM
0.02,0.4282133906194056,25,29,57,BIOMARKERS,LinearSVM
0.03,0.4228612769035992,25,29,57,BIOMARKERS,LinearSVM
0.04,0.4210526315789473,25,24,57,BIOMARKERS,LinearSVM
0.05,0.4173591874422899,25,23,57,BIOMARKERS,LinearSVM
0.06,0.4162000746547218,25,20,57,BIOMARKERS,LinearSVM
0.0699999999999999,0.4121863799283154,25,20,57,BIOMARKERS,LinearSVM
0.08,0.4080854309687261,25,20,57,BIOMARKERS,LinearSVM
0.09,0.4038943512627723,25,20,57,BIOMARKERS,LinearSVM
0.0999999999999999,0.3996101364522417,25,20,57,BIOMARKERS,LinearSVM
0.11,0.397397989355411,25,19,57,BIOMARKERS,LinearSVM
0.12,0.3931419457735247,25,19,57,BIOMARKERS,LinearSVM
0.13,0.3940310546481145,25,17,57,BIOMARKERS,LinearSVM
0.14,0.3900448796409628,25,17,57,BIOMARKERS,LinearSVM
0.15,0.3859649122807017,25,17,57,BIOMARKERS,LinearSVM
0.16,0.3817878028404344,25,17,57,BIOMARKERS,LinearSVM
0.17,0.3599661805115197,24,17,57,BIOMARKERS,LinearSVM
0.18,0.355584082156611,24,17,57,BIOMARKERS,LinearSVM
0.19,0.3510937838423218,24,17,57,BIOMARKERS,LinearSVM
0.2,0.3464912280701754,24,17,57,BIOMARKERS,LinearSVM
0.21,0.3417721518987341,24,17,57,BIOMARKERS,LinearSVM
0.22,0.336932073774179,24,17,57,BIOMARKERS,LinearSVM
0.23,0.3319662793347003,24,17,57,BIOMARKERS,LinearSVM
0.24,0.3268698060941828,24,17,57,BIOMARKERS,LinearSVM
0.25,0.3040935672514619,23,17,57,BIOMARKERS,LinearSVM
0.26,0.2987197724039829,23,17,57,BIOMARKERS,LinearSVM
0.27,0.2931987503004085,23,17,57,BIOMARKERS,LinearSVM
0.28,0.2943469785575048,23,16,57,BIOMARKERS,LinearSVM
0.29,0.2888559426735853,23,16,57,BIOMARKERS,LinearSVM
