bin,mean_pred,frac_pos,n,variant,model,calibration
"(-0.001, 0.2]",0.089288360955517,0.0,15,BIOMARKERS,RF,uncalibrated
"(0.2, 0.4]",0.27398372914446983,0.1,10,BIOMARKERS,RF,uncalibrated
"(0.4, 0.6]",0.5259608341901513,0.42857142857142855,7,BIOMARKERS,RF,uncalibrated
"(0.6, 0.8]",0.6782832220626679,0.7777777777777778,18,BIOMARKERS,RF,uncalibrated
"(0.8, 1.0]",0.8719962686558792,1.0,7,BIOMARKERS,RF,uncalibrated
"(-0.001, 0.2]",0.04566852201199076,0.0,22,BIOMARKERS,RF,platt_crossfit
"(0.2, 0.4]",0.29035683929926775,0.2,5,BIOMARKERS,RF,platt_crossfit
"(0.4, 0.6]",0.533984531122919,0.6,5,BIOMARKERS,RF,platt_crossfit
"(0.6, 0.8]",0.7004789191052055,0.8571428571428571,14,BIOMARKERS,RF,platt_crossfit
"(0.8, 1.0]",0.9233534650978477,0.8181818181818182,11,BIOMARKERS,RF,platt_crossfit
"(-0.001, 0.2]",0.03703678276822731,0.034482758620689655,29,BIOMARKERS,RF,isotonic_crossfit
"(0.4, 0.6]",0.5916666666666665,1.0,1,BIOMARKERS,RF,isotonic_crossfit
"(0.6, 0.8]",0.7666666666666667,0.9230769230769231,13,BIOMARKERS,RF,isotonic_crossfit
"(0.8, 1.0]",0.9464285714285714,0.7857142857142857,14,BIOMARKERS,RF,isotonic_crossfit
"(0.2, 0.4]",0.3351958422710266,0.3333333333333333,9,CLINICAL,RF,uncalibrated
"(0.4, 0.6]",0.48060543369443376,0.4418604651162791,43,CLINICAL,RF,uncalibrated
"(0.6, 0.8]",0.6203851040555248,0.6,5,CLINICAL,RF,uncalibrated
"(0.2, 0.4]",0.34986101378911577,0.42857142857142855,14,CLINICAL,RF,platt_crossfit
"(0.4, 0.6]",0.4656387802647501,0.4418604651162791,43,CLINICAL,RF,platt_crossfit
"(-0.001, 0.2]",0.0,0.25,4,CLINICAL,RF,isotonic_crossfit
"(0.2, 0.4]",0.32720791060922744,0.42105263157894735,19,CLINICAL,RF,isotonic_crossfit
"(0.4, 0.6]",0.4906290371433016,0.45161290322580644,31,CLINICAL,RF,isotonic_crossfit
"(0.6, 0.8]",0.7017760886049725,0.5,2,CLINICAL,RF,isotonic_crossfit
"(0.8, 1.0]",1.0,1.0,1,CLINICAL,RF,isotonic_crossfit
"(-0.001, 0.2]",0.1052,0.0,15,FULL,RF,uncalibrated
"(0.2, 0.4]",0.29893333333333333,0.0,15,FULL,RF,uncalibrated
"(0.4, 0.6]",0.5302,0.8,10,FULL,RF,uncalibrated
"(0.6, 0.8]",0.7085,1.0,8,FULL,RF,uncalibrated
"(0.8, 1.0]",0.9042222222222223,1.0,9,FULL,RF,uncalibrated
"(-0.001, 0.2]",0.050917316176055084,0.0,25,FULL,RF,platt_crossfit
"(0.2, 0.4]",0.23971893041835696,0.0,5,FULL,RF,platt_crossfit
"(0.4, 0.6]",0.48021399558491257,0.5,4,FULL,RF,platt_crossfit
"(0.6, 0.8]",0.7202115170857846,1.0,7,FULL,RF,platt_crossfit
"(0.8, 1.0]",0.9639608629667044,1.0,16,FULL,RF,platt_crossfit
"(-0.001, 0.2]",0.004962779156327545,0.03225806451612903,31,FULL,RF,isotonic_crossfit
"(0.2, 0.4]",0.34840848806366026,0.0,2,FULL,RF,isotonic_crossfit
"(0.6, 0.8]",0.6615384615384614,1.0,1,FULL,RF,isotonic_crossfit
"(0.8, 1.0]",1.0,1.0,23,FULL,RF,isotonic_crossfit
