variant,model,outer_fold,threshold_method,calibration,threshold,sens,spec,ppv,npv,youdenJ
BIOMARKERS,RF,1,f1,isotonic_crossfit,0.17,1.0,0.7142857142857143,0.7142857142857143,1.0,0.7142857142857144
BIOMARKERS,RF,2,f1,isotonic_crossfit,0.21000000000000002,1.0,0.8571428571428571,0.8333333333333334,1.0,0.8571428571428572
BIOMARKERS,RF,3,f1,isotonic_crossfit,0.01,0.8,0.8333333333333334,0.8,0.8333333333333334,0.6333333333333333
BIOMARKERS,RF,4,f1,isotonic_crossfit,0.17,1.0,1.0,1.0,1.0,1.0
BIOMARKERS,RF,5,f1,isotonic_crossfit,0.17,1.0,0.8333333333333334,0.8333333333333334,1.0,0.8333333333333335
BIOMARKERS,RF,1,f1,platt_crossfit,0.5700000000000001,1.0,0.7142857142857143,0.7142857142857143,1.0,0.7142857142857144
BIOMARKERS,RF,2,f1,platt_crossfit,0.53,1.0,0.8571428571428571,0.8333333333333334,1.0,0.8571428571428572
BIOMARKERS,RF,3,f1,platt_crossfit,0.47000000000000003,0.8,0.8333333333333334,0.8,0.8333333333333334,0.6333333333333333
BIOMARKERS,RF,4,f1,platt_crossfit,0.49,1.0,1.0,1.0,1.0,1.0
BIOMARKERS,RF,5,f1,platt_crossfit,0.5,1.0,0.8333333333333334,0.8333333333333334,1.0,0.8333333333333335
BIOMARKERS,RF,1,f1,uncalibrated,0.54,1.0,0.7142857142857143,0.7142857142857143,1.0,0.7142857142857144
BIOMARKERS,RF,2,f1,uncalibrated,0.54,1.0,0.8571428571428571,0.8333333333333334,1.0,0.8571428571428572
BIOMARKERS,RF,3,f1,uncalibrated,0.53,0.8,0.8333333333333334,0.8,0.8333333333333334,0.6333333333333333
BIOMARKERS,RF,4,f1,uncalibrated,0.54,1.0,1.0,1.0,1.0,1.0
BIOMARKERS,RF,5,f1,uncalibrated,0.54,1.0,0.8333333333333334,0.8333333333333334,1.0,0.8333333333333335
BIOMARKERS,RF,1,mcc,isotonic_crossfit,0.17,1.0,0.7142857142857143,0.7142857142857143,1.0,0.7142857142857144
BIOMARKERS,RF,2,mcc,isotonic_crossfit,0.21000000000000002,1.0,0.8571428571428571,0.8333333333333334,1.0,0.8571428571428572
BIOMARKERS,RF,3,mcc,isotonic_crossfit,0.01,0.8,0.8333333333333334,0.8,0.8333333333333334,0.6333333333333333
