variant,threshold,net_benefit
BIOMARKERS,0.01,0.4331029594187489
BIOMARKERS,0.02,0.4278553526673827
BIOMARKERS,0.03,0.4228612769035992
BIOMARKERS,0.04,0.4181286549707602
BIOMARKERS,0.05,0.4136657433056325
BIOMARKERS,0.06,0.4083613288540499
BIOMARKERS,0.0699999999999999,0.4029428409734012
BIOMARKERS,0.08,0.3974065598779557
BIOMARKERS,0.09,0.3934837092731829
BIOMARKERS,0.0999999999999999,0.391812865497076
BIOMARKERS,0.11,0.3865562783362901
BIOMARKERS,0.12,0.3883572567783094
BIOMARKERS,0.13,0.3835450695704779
BIOMARKERS,0.14,0.3814769481844145
BIOMARKERS,0.15,0.3828689370485035
BIOMARKERS,0.16,0.3784461152882205
BIOMARKERS,0.17,0.3739167195096173
BIOMARKERS,0.18,0.3731279418057338
BIOMARKERS,0.19,0.3686376434914447
BIOMARKERS,0.2,0.3640350877192982
BIOMARKERS,0.21,0.3733066844326004
BIOMARKERS,0.22,0.3742690058479532
BIOMARKERS,0.23,0.3704716336295283
BIOMARKERS,0.24,0.3721144967682364
BIOMARKERS,0.25,0.3742690058479532
BIOMARKERS,0.26,0.3707918444760549
BIOMARKERS,0.27,0.3672194184090362
BIOMARKERS,0.28,0.3635477582846003
BIOMARKERS,0.29,0.3597726711144057
BIOMARKERS,0.3,0.3558897243107769
BIOMARKERS,0.31,0.3597762522247648
BIOMARKERS,0.32,0.3560371517027864
BIOMARKERS,0.33,0.3521864362398533
BIOMARKERS,0.34,0.3482190324295587
BIOMARKERS,0.35,0.3441295546558704
BIOMARKERS,0.36,0.3223684210526315
BIOMARKERS,0.37,0.3180172653856864
BIOMARKERS,0.38,0.3242784380305602
BIOMARKERS,0.39,0.3201035375323554
BIOMARKERS,0.4,0.327485380116959
BIOMARKERS,0.41,0.3235206660719595
BIOMARKERS,0.42,0.3321234119782214
BIOMARKERS,0.43,0.3284087411511234
BIOMARKERS,0.44,0.3245614035087719
BIOMARKERS,0.45,0.3205741626794258
BIOMARKERS,0.46,0.3313840155945419
BIOMARKERS,0.47,0.3277060575968222
BIOMARKERS,0.48,0.3238866396761133
BIOMARKERS,0.49,0.3199174406604747
BIOMARKERS,0.5,0.3157894736842105
CLINICAL,0.01,0.4329257487152224
CLINICAL,0.02,0.4271392767633369
CLINICAL,0.03,0.4212334961114125
CLINICAL,0.04,0.4152046783625731
CLINICAL,0.05,0.4090489381348107
CLINICAL,0.06,0.4027622247107129
CLINICAL,0.0699999999999999,0.3963403131484625
CLINICAL,0.08,0.3897787948131197
CLINICAL,0.09,0.3830730672835936
CLINICAL,0.0999999999999999,0.3762183235867446
CLINICAL,0.11,0.3692095407056968
CLINICAL,0.12,0.3620414673046251
CLINICAL,0.13,0.3547086106069771
CLINICAL,0.14,0.3472052223582211
CLINICAL,0.15,0.3395252837977295
CLINICAL,0.16,0.3316624895572264
CLINICAL,0.17,0.3236102303952652
CLINICAL,0.18,0.3153615746683782
CLINICAL,0.19,0.3069092484297162
CLINICAL,0.2,0.2982456140350877
CLINICAL,0.21,0.2893626471241394
CLINICAL,0.22,0.2802519118308592
CLINICAL,0.23,0.2709045340624287
CLINICAL,0.24,0.2613111726685133
CLINICAL,0.25,0.2514619883040935
CLINICAL,0.26,0.2475106685633001
CLINICAL,0.27,0.2374429223744291
CLINICAL,0.28,0.2339181286549707
CLINICAL,0.29,0.2236224363726216
CLINICAL,0.3,0.213032581453634
CLINICAL,0.31,0.202135774218154
CLINICAL,0.32,0.1909184726522187
CLINICAL,0.33,0.1880073317622413
CLINICAL,0.34,0.1765018607123869
CLINICAL,0.35,0.1470985155195681
CLINICAL,0.36,0.1370614035087718
CLINICAL,0.37,0.1356168198273461
CLINICAL,0.38,0.1239388794567062
CLINICAL,0.39,0.1118780557952257
CLINICAL,0.4,0.0818713450292397
CLINICAL,0.41,0.0514421647338685
CLINICAL,0.42,0.0713853599516031
CLINICAL,0.43,0.0729455216989843
CLINICAL,0.44,0.0889724310776942
CLINICAL,0.45,0.0542264752791068
CLINICAL,0.46,0.0266406757634827
CLINICAL,0.47,0.047335319430652
CLINICAL,0.48,0.0539811066126855
CLINICAL,0.49,0.0426556587547299
CLINICAL,0.5,0.0
FULL,0.01,0.4331029594187489
FULL,0.02,0.4274973147153598
FULL,0.03,0.4217760897088081
FULL,0.04,0.4159356725146199
FULL,0.05,0.4108956602031394
FULL,0.06,0.4061216871967151
FULL,0.0699999999999999,0.4029428409734012
FULL,0.08,0.3989321128909229
FULL,0.09,0.3952188162714478
FULL,0.0999999999999999,0.391812865497076
FULL,0.11,0.3865562783362901
FULL,0.12,0.3811802232854864
FULL,0.13,0.3809235733010687
FULL,0.14,0.3757649938800489
FULL,0.15,0.3766769865841073
FULL,0.16,0.3717627401837928
FULL,0.17,0.3703233988585922
FULL,0.18,0.3692768506632434
FULL,0.19,0.3645224171539961
FULL,0.2,0.3596491228070175
FULL,0.21,0.3639795691761048
FULL,0.22,0.3643724696356275
FULL,0.23,0.3599908863066757
FULL,0.24,0.3554939981532778
FULL,0.25,0.3567251461988304
FULL,0.26,0.3584637268847795
FULL,0.27,0.3542417688055755
FULL,0.28,0.3703703703703703
FULL,0.29,0.3669384729429206
FULL,0.3,0.3634085213032581
FULL,0.31,0.3676582761250953
FULL,0.32,0.3808049535603715
FULL,0.33,0.3781094527363183
FULL,0.34,0.3753322700691121
FULL,0.35,0.3819163292847503
FULL,0.36,0.3991228070175438
FULL,0.37,0.4076858813700919
FULL,0.38,0.4063384267119411
FULL,0.39,0.4161633592177164
FULL,0.4,0.4152046783625731
FULL,0.41,0.4142134998513232
FULL,0.42,0.4131881427707198
FULL,0.43,0.425361649738381
FULL,0.44,0.424812030075188
FULL,0.45,0.4066985645933014
FULL,0.46,0.4061078622482131
FULL,0.47,0.4054948692485932
FULL,0.48,0.4210526315789473
FULL,0.49,0.4210526315789473
FULL,0.5,0.4210526315789473
