feature,perm_auc_drop
92_kda_pro_mmp_9,0.1931111111111111
72_kda_pro_mmp_2,0.03084126984126983
tnfalfa_pg_ml,0.0038095238095238034
emmprin,0.003523809523809523
wyniki_fgf23_pg_ml,0.000476190476190476
bmi,0.0002857142857142847
wbc_przyjecie,0.00019047619047619054
bb,0.0
crp_5_zapalenie,0.0
cholesterol_calkowity_tc,0.0
crt_d_device,0.0
cad,0.0
czy_pali,0.0
gfr_min,0.0
hb_przyjecie,0.0
hba1c,0.0
hdl,0.0
ht_przyjecie,0.0
il_6_pg_ml,0.0
cukrzyca_dm,0.0
arb,0.0
ace_i,0.0
ile_lat_mizdzyca_konczyn,0.0
ile_lat_miazdzyca_t_szyjnych,0.0
ile_lat_1,0.0
ile_lat_pali,0.0
ldl,0.0
klop,0.0
krwawienie,0.0
kwas_moczowy,0.0
nadcisnienie_tetnicze_nt,0.0
noac,0.0
non_hdl_calkowity_hdl,0.0
obwod_bioder,0.0
otylosc_bmi_30,0.0
leukocytoza_przyjecie_10000,0.0
mpv_przyjecie,0.0
nabyta_wada_serca,0.0
pdw_przyjecie,0.0
pct_przyjecie,0.0
p_lcr_przyjecie,0.0
petlowy,0.0
stymulator,0.0
rbc_przyjecie,0.0
trijglicerydy_tg,0.0
plt_przyjecie,0.0
waga_kg,0.0
wiek_w_momencie_zbiorki,0.0
wrodzona_wada_serca,0.0
wyniki_klotho_pg_ml,0.0
wzrost_cm,0.0
zaburzenia_homeostazy_glukozy_6,0.0
zaburzenia_rytmu,0.0
zapalenie_miesnia_serca,0.0
