feature,auc_univariate
92_kda_pro_mmp_9,0.985
72_kda_pro_mmp_2,0.8175
emmprin,0.74125
wbc_przyjecie,0.66625
waga_kg,0.6618750000000001
wyniki_fgf23_pg_ml,0.65375
hdl,0.630625
obwod_bioder,0.62
bmi,0.604375
wzrost_cm,0.6037500000000001
leukocytoza_przyjecie_10000,0.5956250000000001
czy_pali,0.5725
klop,0.5575
pct_przyjecie,0.555
hb_przyjecie,0.553125
trijglicerydy_tg,0.549375
wyniki_klotho_pg_ml,0.5418750000000001
hba1c,0.531875
plt_przyjecie,0.530625
ht_przyjecie,0.514375
otylosc_bmi_30,0.5131249999999999
zaburzenia_rytmu,0.510625
petlowy,0.51
kwas_moczowy,0.503125
stymulator,0.4987500000000001
wiek_w_momencie_zbiorki,0.49625
arb,0.48125000000000007
wrodzona_wada_serca,0.48125000000000007
zapalenie_miesnia_serca,0.48125000000000007
crt_d_device,0.48125000000000007
bb,0.48125000000000007
ile_lat_miazdzyca_t_szyjnych,0.48125000000000007
gfr_min,0.46125000000000005
cad,0.453125
pdw_przyjecie,0.45249999999999996
ile_lat_pali,0.4425
ile_lat_1,0.44
crp_5_zapalenie,0.433125
ldl,0.433125
il_6_pg_ml,0.4275000000000001
p_lcr_przyjecie,0.42125
ace_i,0.42000000000000004
nabyta_wada_serca,0.418125
cholesterol_calkowity_tc,0.41625
krwawienie,0.410625
zaburzenia_homeostazy_glukozy_6,0.40937499999999993
tnfalfa_pg_ml,0.38249999999999995
noac,0.37812500000000004
ile_lat_mizdzyca_konczyn,0.37375
non_hdl_calkowity_hdl,0.371875
nadcisnienie_tetnicze_nt,0.36062500000000003
mpv_przyjecie,0.36062500000000003
rbc_przyjecie,0.33625
cukrzyca_dm,0.311875
