variant,k_removed,removed_feature,auc_mean,auc_sd,mcc_mean,mcc_sd,auc_oof
CLINICAL,0,NONE,0.561904761904762,0.1061060950245581,0.13931872568039752,0.3220928720484824,0.58875
CLINICAL,1,wbc_przyjecie,0.5628571428571428,0.16729134633274712,0.061457390002586834,0.24096291841687792,0.53375
CLINICAL,2,wiek_w_momencie_zbiorki,0.5771428571428572,0.15769743411236464,0.0696344342555536,0.26626279812331455,0.53625
CLINICAL,3,gfr_min,0.5438095238095239,0.17850474945566938,-0.025833802032011872,0.23529112491853593,0.525
CLINICAL,4,bmi,0.54,0.10076802573901045,-0.011639218996957884,0.2974643875841732,0.5362500000000001
CLINICAL,5,crp_5_zapalenie,0.5514285714285714,0.18688277092345137,-0.11690216228430779,0.21135055298446423,0.50375
CLINICAL,6,ace_i,0.5314285714285715,0.16168051697456007,-0.10238806398718428,0.32763132330811096,0.5125000000000001
CLINICAL,7,crt_d_device,0.5485714285714286,0.11738843789519444,-0.013862500785909875,0.3272468393265659,0.50375
CLINICAL,8,ile_lat_miazdzyca_t_szyjnych,0.5800000000000001,0.15541619932084902,0.08224697855384389,0.46012204874906015,0.5225
CLINICAL,9,arb,0.5647619047619048,0.1302187240752007,-0.0604844030988672,0.19001925780315193,0.52
CLINICAL,10,bb,0.5742857142857143,0.14760368583664285,0.020135022810199504,0.3788015281733748,0.525
CLINICAL,11,zapalenie_miesnia_serca,0.5247619047619049,0.11260671431510443,0.10599025134935776,0.24959340734064006,0.50375
CLINICAL,12,stymulator,0.6057142857142856,0.1708455694970755,-0.04073659224357916,0.2727816099523409,0.53125
CLINICAL,13,krwawienie,0.5228571428571429,0.12959906777190547,-0.04904833932088765,0.3343666050468107,0.515
CLINICAL,14,ile_lat_1,0.5466666666666666,0.17738974091363316,0.13979156253620484,0.22495035165424795,0.53
CLINICAL,15,wrodzona_wada_serca,0.559047619047619,0.1408429433584713,-0.07453790343042625,0.26617436796672395,0.51
CLINICAL,16,ile_lat_mizdzyca_konczyn,0.5304761904761904,0.12632966268248078,-0.021970877530612377,0.3489796978256311,0.48875
CLINICAL,17,zaburzenia_homeostazy_glukozy_6,0.5266666666666666,0.15593329581511503,-0.014269696094770759,0.15484919744547546,0.49374999999999997
CLINICAL,18,ile_lat_pali,0.5638095238095239,0.10635157542966575,0.0615902543628003,0.2336527726557603,0.54625
CLINICAL,19,otylosc_bmi_30,0.5161904761904762,0.1741386316661204,-0.09868740787134353,0.2518469802062798,0.47374999999999995
CLINICAL,20,leukocytoza_przyjecie_10000,0.5085714285714286,0.13765941078867372,0.04196233178612773,0.22895713138326418,0.47
