feature,perm_auc_drop
wbc_przyjecie,0.01149206349206351
wiek_w_momencie_zbiorki,0.009777777777777791
gfr_min,0.003111111111111121
bmi,0.001142857142857144
crp_5_zapalenie,0.0010158730158730388
ace_i,0.0
crt_d_device,0.0
ile_lat_miazdzyca_t_szyjnych,0.0
arb,0.0
bb,0.0
zapalenie_miesnia_serca,0.0
stymulator,0.0
krwawienie,0.0
ile_lat_1,0.0
wrodzona_wada_serca,0.0
ile_lat_mizdzyca_konczyn,0.0
zaburzenia_homeostazy_glukozy_6,-0.0006666666666666724
ile_lat_pali,-0.0021904761904761776
otylosc_bmi_30,-0.0039047619047619052
leukocytoza_przyjecie_10000,-0.003936507936507934
nabyta_wada_serca,-0.0040000000000000105
petlowy,-0.006476190476190495
nadcisnienie_tetnicze_nt,-0.006984126984126986
zaburzenia_rytmu,-0.007269841269841257
trijglicerydy_tg,-0.007873015873015858
noac,-0.010253968253968272
hba1c,-0.01053968253968254
pct_przyjecie,-0.010730158730158717
kwas_moczowy,-0.010952380952380936
waga_kg,-0.01133333333333333
cad,-0.011873015873015879
klop,-0.011968253968253992
mpv_przyjecie,-0.01469841269841268
obwod_bioder,-0.015650793650793655
cukrzyca_dm,-0.017746031746031735
p_lcr_przyjecie,-0.01853968253968254
wzrost_cm,-0.021206349206349184
pdw_przyjecie,-0.02219047619047619
hb_przyjecie,-0.022317460317460326
plt_przyjecie,-0.03073015873015873
rbc_przyjecie,-0.03634920634920634
ht_przyjecie,-0.050603174603174594
