feature,perm_auc_drop
92_kda_pro_mmp_9,0.2224761904761904
72_kda_pro_mmp_2,0.02125396825396822
emmprin,0.0019999999999999653
wyniki_fgf23_pg_ml,0.0015238095238094954
bmi,0.00028571428571426915
bb,0.0
arb,0.0
crp_5_zapalenie,0.0
cad,0.0
cukrzyca_dm,0.0
crt_d_device,0.0
ile_lat_mizdzyca_konczyn,0.0
ile_lat_miazdzyca_t_szyjnych,0.0
ile_lat_1,0.0
petlowy,0.0
wrodzona_wada_serca,0.0
stymulator,0.0
kwas_moczowy,0.0
nadcisnienie_tetnicze_nt,0.0
klop,0.0
ace_i,0.0
zapalenie_miesnia_serca,0.0
zaburzenia_homeostazy_glukozy_6,-3.7007434154171884e-18
krwawienie,-5.181040781584064e-18
otylosc_bmi_30,-5.921189464667501e-18
obwod_bioder,-1.4802973661668754e-17
ile_lat_pali,-1.628327102783563e-17
rbc_przyjecie,-1.628327102783563e-17
wyniki_klotho_pg_ml,-1.7763568394002505e-17
il_6_pg_ml,-1.924386576016938e-17
p_lcr_przyjecie,-1.9984014443252817e-17
wiek_w_momencie_zbiorki,-1.9984014443252817e-17
noac,-2.0724163126336256e-17
pct_przyjecie,-2.1464311809419696e-17
cholesterol_calkowity_tc,-2.3684757858670005e-17
nabyta_wada_serca,-2.3684757858670005e-17
gfr_min,-2.4424906541753447e-17
pdw_przyjecie,-2.516505522483688e-17
mpv_przyjecie,-2.812564995717063e-17
leukocytoza_przyjecie_10000,-3.0346096006420944e-17
hba1c,-3.0346096006420944e-17
zaburzenia_rytmu,-3.4786988104921574e-17
hb_przyjecie,-3.552713678800501e-17
ldl,-9.523809523811932e-05
non_hdl_calkowity_hdl,-0.00047619047619049375
trijglicerydy_tg,-0.000571428571428596
plt_przyjecie,-0.0005714285714285961
ht_przyjecie,-0.0010476190476190787
wbc_przyjecie,-0.0014285714285714552
tnfalfa_pg_ml,-0.0022857142857143184
hdl,-0.002476190476190503
wzrost_cm,-0.002761904761904792
waga_kg,-0.004571428571428596
