variant,k_removed,removed_feature,auc_mean,auc_sd,mcc_mean,mcc_sd,auc_oof
FULL,0,NONE,0.9942857142857143,0.012777531299998854,0.9673320053068151,0.0730478568225638,0.996875
FULL,1,92_kda_pro_mmp_9,0.940952380952381,0.057227120412070356,0.6045233448691705,0.19521793412971178,0.913125
FULL,2,72_kda_pro_mmp_2,0.858095238095238,0.054932446660831746,0.4828653399484149,0.20306162521624904,0.8
FULL,3,emmprin,0.6914285714285715,0.045971498613894005,0.08515677699040824,0.1864869848213239,0.653125
FULL,4,wyniki_fgf23_pg_ml,0.6457142857142857,0.09063895134617231,0.21886208919635136,0.25900058513028723,0.6275
FULL,5,bmi,0.6642857142857143,0.0933138949631687,0.1810082929939801,0.13768488970664564,0.67375
FULL,6,bb,0.6604761904761907,0.11899522656635528,0.29276600688859544,0.14297154900909048,0.6693750000000002
FULL,7,arb,0.5638095238095239,0.12889509524505308,0.11876435438480182,0.1867090832233155,0.57375
FULL,8,crp_5_zapalenie,0.6490476190476191,0.04941838595855089,0.22332512071065658,0.18911356122230405,0.63
FULL,9,cad,0.6580952380952381,0.0946050388651937,0.2910842697414343,0.20845122451270945,0.6681250000000001
FULL,10,cukrzyca_dm,0.6985714285714286,0.11738843789519442,0.3343832075301861,0.229467804000726,0.71875
FULL,11,crt_d_device,0.6576190476190477,0.10667091828261456,0.30066348894921247,0.04060557868361601,0.66
FULL,12,ile_lat_mizdzyca_konczyn,0.630952380952381,0.09458106698114863,0.2187215908443081,0.14991238608918572,0.620625
FULL,13,ile_lat_miazdzyca_t_szyjnych,0.6557142857142858,0.10212592822304971,0.14999178737732327,0.13431385322619993,0.6418750000000001
FULL,14,ile_lat_1,0.721904761904762,0.12668814712243287,0.3158086600555383,0.18580443929883686,0.688125
FULL,15,petlowy,0.6571428571428571,0.09786554245030764,0.10895011468480462,0.20176568784583992,0.6581250000000001
FULL,16,wrodzona_wada_serca,0.6952380952380953,0.08513361513705298,0.19064933742382711,0.17599649949231888,0.6625
FULL,17,stymulator,0.6814285714285715,0.14246374404509715,0.2622898806610645,0.11326336757405657,0.675625
FULL,18,kwas_moczowy,0.6595238095238095,0.10918685226474381,0.3316303683691282,0.142954800998942,0.675
FULL,19,nadcisnienie_tetnicze_nt,0.6828571428571429,0.02685308986642221,0.2684885694742174,0.10012717509419902,0.651875
FULL,20,klop,0.6799999999999999,0.08823348226319894,0.10950018329747188,0.18028371165292342,0.680625
CLINICAL,0,NONE,0.561904761904762,0.1061060950245581,0.13931872568039752,0.3220928720484824,0.58875
CLINICAL,1,wbc_przyjecie,0.5628571428571428,0.16729134633274712,0.061457390002586834,0.24096291841687792,0.53375
CLINICAL,2,wiek_w_momencie_zbiorki,0.5771428571428572,0.15769743411236464,0.0696344342555536,0.26626279812331455,0.53625
CLINICAL,3,gfr_min,0.5438095238095239,0.17850474945566938,-0.025833802032011872,0.23529112491853593,0.525
CLINICAL,4,bmi,0.54,0.10076802573901045,-0.011639218996957884,0.2974643875841732,0.5362500000000001
CLINICAL,5,crp_5_zapalenie,0.5514285714285714,0.18688277092345137,-0.11690216228430779,0.21135055298446423,0.50375
CLINICAL,6,ace_i,0.5314285714285715,0.16168051697456007,-0.10238806398718428,0.32763132330811096,0.5125000000000001
CLINICAL,7,crt_d_device,0.5485714285714286,0.11738843789519444,-0.013862500785909875,0.3272468393265659,0.50375
CLINICAL,8,ile_lat_miazdzyca_t_szyjnych,0.5800000000000001,0.15541619932084902,0.08224697855384389,0.46012204874906015,0.5225
CLINICAL,9,arb,0.5647619047619048,0.1302187240752007,-0.0604844030988672,0.19001925780315193,0.52
CLINICAL,10,bb,0.5742857142857143,0.14760368583664285,0.020135022810199504,0.3788015281733748,0.525
CLINICAL,11,zapalenie_miesnia_serca,0.5247619047619049,0.11260671431510443,0.10599025134935776,0.24959340734064006,0.50375
CLINICAL,12,stymulator,0.6057142857142856,0.1708455694970755,-0.04073659224357916,0.2727816099523409,0.53125
CLINICAL,13,krwawienie,0.5228571428571429,0.12959906777190547,-0.04904833932088765,0.3343666050468107,0.515
CLINICAL,14,ile_lat_1,0.5466666666666666,0.17738974091363316,0.13979156253620484,0.22495035165424795,0.53
CLINICAL,15,wrodzona_wada_serca,0.559047619047619,0.1408429433584713,-0.07453790343042625,0.26617436796672395,0.51
CLINICAL,16,ile_lat_mizdzyca_konczyn,0.5304761904761904,0.12632966268248078,-0.021970877530612377,0.3489796978256311,0.48875
