variant,model,fold_id,best_score_inner_cv,best_params,use_rfe_effective,n_select_effective,error
BIOMARKERS,LR_L1,1,0.9625,"{""clf__C"": 0.5994842503189409}",False,,
BIOMARKERS,LR_L1,2,0.9166666666666666,"{""clf__C"": 27.825594022071257}",False,,
BIOMARKERS,LR_L1,3,0.9,"{""clf__C"": 7.742636826811277}",False,,
BIOMARKERS,LR_L1,4,0.9041666666666666,"{""clf__C"": 0.5994842503189409}",False,,
BIOMARKERS,LR_L1,5,0.9,"{""clf__C"": 2.1544346900318843}",False,,
BIOMARKERS,LR_ELNET,1,0.95,"{""clf__C"": 2.1544346900318843, ""clf__l1_ratio"": 0.1}",False,,
BIOMARKERS,LR_ELNET,2,0.9375,"{""clf__C"": 0.1668100537200059, ""clf__l1_ratio"": 0.5}",False,,
BIOMARKERS,LR_ELNET,3,0.9333333333333332,"{""clf__C"": 0.1668100537200059, ""clf__l1_ratio"": 0.1}",False,,
BIOMARKERS,LR_ELNET,4,0.9416666666666667,"{""clf__C"": 0.046415888336127795, ""clf__l1_ratio"": 0.1}",False,,
BIOMARKERS,LR_ELNET,5,0.9166666666666667,"{""clf__C"": 2.1544346900318843, ""clf__l1_ratio"": 0.1}",False,,
BIOMARKERS,SVM_REG,1,0.95,"{""clf__C"": 2.1544346900318843, ""clf__gamma"": ""scale"", ""clf__kernel"": ""linear""}",False,,
BIOMARKERS,SVM_REG,2,0.9166666666666666,"{""clf__C"": 7.742636826811277, ""clf__gamma"": ""scale"", ""clf__kernel"": ""linear""}",False,,
BIOMARKERS,SVM_REG,3,0.9625,"{""clf__C"": 2.1544346900318843, ""clf__gamma"": ""scale"", ""clf__kernel"": ""rbf""}",False,,
BIOMARKERS,SVM_REG,4,0.9125,"{""clf__C"": 0.046415888336127795, ""clf__gamma"": ""scale"", ""clf__kernel"": ""linear""}",False,,
BIOMARKERS,SVM_REG,5,0.8875,"{""clf__C"": 0.046415888336127795, ""clf__gamma"": ""scale"", ""clf__kernel"": ""linear""}",False,,
BIOMARKERS,RF_SHALLOW,1,0.9333333333333332,"{""clf__max_depth"": 2, ""clf__max_features"": ""sqrt"", ""clf__min_samples_leaf"": 5, ""clf__n_estimators"": 300}",False,,
BIOMARKERS,RF_SHALLOW,2,0.9041666666666666,"{""clf__max_depth"": 2, ""clf__max_features"": ""sqrt"", ""clf__min_samples_leaf"": 5, ""clf__n_estimators"": 300}",False,,
BIOMARKERS,RF_SHALLOW,3,0.8791666666666668,"{""clf__max_depth"": 2, ""clf__max_features"": ""sqrt"", ""clf__min_samples_leaf"": 5, ""clf__n_estimators"": 300}",False,,
BIOMARKERS,RF_SHALLOW,4,0.85,"{""clf__max_depth"": 2, ""clf__max_features"": ""sqrt"", ""clf__min_samples_leaf"": 5, ""clf__n_estimators"": 300}",False,,
BIOMARKERS,RF_SHALLOW,5,0.8708333333333333,"{""clf__max_depth"": 2, ""clf__max_features"": ""sqrt"", ""clf__min_samples_leaf"": 5, ""clf__n_estimators"": 300}",False,,
