variant,model,auc_mean,auc_sd,mcc_mean,mcc_sd,use_rfe_effective,n_select_effective,label_type,perm_id
CLINICAL,LR_L1,0.5200000000000001,0.12549900398011135,-0.024868329805051388,0.24718810188980372,False,,true,-1
CLINICAL,LR_ELNET,0.4800000000000001,0.10368220676663864,-0.03967049050833986,0.08761091468185793,False,,true,-1
CLINICAL,SVM_REG,0.6100000000000001,0.12942179105544785,0.11533424923428123,0.37312293949537617,False,,true,-1
CLINICAL,RF_SHALLOW,0.55,0.14577379737113252,0.05263200419923721,0.31363624999403605,False,,true,-1
CLINICAL,LR_L1,0.5955555555555556,0.2100631886120854,0.1132455532033675,0.2051689690220698,False,,permuted,0
CLINICAL,LR_ELNET,0.5985714285714285,0.1755102699994602,0.1953295542119482,0.354668999803119,False,,permuted,0
CLINICAL,SVM_REG,0.6111111111111112,0.1521451548625462,0.2016889457034467,0.2739430937606336,False,,permuted,0
CLINICAL,RF_SHALLOW,0.7201587301587302,0.2105237083950933,0.2641800758013251,0.3007319086255714,False,,permuted,0
CLINICAL,LR_L1,0.3888888888888889,0.238953479640073,-0.2213594362117865,0.3464101615137754,False,,permuted,1
CLINICAL,LR_ELNET,0.3,0.1948408657416686,-0.2529822128134703,0.3278719262151,False,,permuted,1
CLINICAL,SVM_REG,0.4822222222222223,0.3023161618709709,0.0511857892036908,0.4495354953578604,False,,permuted,1
CLINICAL,RF_SHALLOW,0.4311111111111111,0.2508504054729151,-0.1,0.1369306393762915,False,,permuted,1
CLINICAL,LR_L1,0.44,0.1341640786499874,-0.0119522860933439,0.0267261241912424,False,,permuted,2
CLINICAL,LR_ELNET,0.42,0.1303840481040529,-0.0119522860933439,0.0267261241912424,False,,permuted,2
CLINICAL,SVM_REG,0.4642857142857142,0.1286705966760844,0.0394762853352274,0.182572289422745,False,,permuted,2
CLINICAL,RF_SHALLOW,0.4028571428571428,0.2395041646776923,-0.0514285714285714,0.330464268345401,False,,permuted,2
CLINICAL,LR_L1,0.4766666666666667,0.0829993306532582,0.0516227766016837,0.1744100374689364,False,,permuted,3
CLINICAL,LR_ELNET,0.4866666666666667,0.0960324019392529,-0.0748683298050513,0.1635341447229066,False,,permuted,3
CLINICAL,SVM_REG,0.4555555555555555,0.1616370725108462,-0.0464249373049722,0.1938395306384739,False,,permuted,3
