variant,model,fold_id,best_score_inner_cv,best_params,use_rfe_effective,n_select_effective,error
CLINICAL,LR_L1,1,0.5291666666666666,"{""clf__C"": 27.825594022071257}",False,,
CLINICAL,LR_L1,2,0.5,"{""clf__C"": 0.001}",False,,
CLINICAL,LR_L1,3,0.5,"{""clf__C"": 0.001}",False,,
CLINICAL,LR_L1,4,0.5125,"{""clf__C"": 100.0}",False,,
CLINICAL,LR_L1,5,0.5125,"{""clf__C"": 0.5994842503189409}",False,,
CLINICAL,LR_ELNET,1,0.5708333333333332,"{""clf__C"": 0.5994842503189409, ""clf__l1_ratio"": 0.9}",False,,
CLINICAL,LR_ELNET,2,0.5833333333333334,"{""clf__C"": 0.046415888336127795, ""clf__l1_ratio"": 0.1}",False,,
CLINICAL,LR_ELNET,3,0.5083333333333333,"{""clf__C"": 0.5994842503189409, ""clf__l1_ratio"": 0.1}",False,,
CLINICAL,LR_ELNET,4,0.6125,"{""clf__C"": 0.1668100537200059, ""clf__l1_ratio"": 0.9}",False,,
CLINICAL,LR_ELNET,5,0.5,"{""clf__C"": 0.001, ""clf__l1_ratio"": 0.1}",False,,
CLINICAL,SVM_REG,1,0.6166666666666666,"{""clf__C"": 2.1544346900318843, ""clf__gamma"": ""scale"", ""clf__kernel"": ""rbf""}",False,,
CLINICAL,SVM_REG,2,0.55,"{""clf__C"": 7.742636826811277, ""clf__gamma"": ""scale"", ""clf__kernel"": ""rbf""}",False,,
CLINICAL,SVM_REG,3,0.5333333333333333,"{""clf__C"": 0.01291549665014884, ""clf__gamma"": ""scale"", ""clf__kernel"": ""linear""}",False,,
CLINICAL,SVM_REG,4,0.6333333333333332,"{""clf__C"": 0.001, ""clf__gamma"": ""scale"", ""clf__kernel"": ""linear""}",False,,
CLINICAL,SVM_REG,5,0.5125,"{""clf__C"": 0.046415888336127795, ""clf__gamma"": ""scale"", ""clf__kernel"": ""linear""}",False,,
CLINICAL,RF_SHALLOW,1,0.7,"{""clf__max_depth"": 2, ""clf__max_features"": ""sqrt"", ""clf__min_samples_leaf"": 5, ""clf__n_estimators"": 300}",False,,
CLINICAL,RF_SHALLOW,2,0.5833333333333333,"{""clf__max_depth"": 2, ""clf__max_features"": ""sqrt"", ""clf__min_samples_leaf"": 5, ""clf__n_estimators"": 300}",False,,
CLINICAL,RF_SHALLOW,3,0.4875,"{""clf__max_depth"": 2, ""clf__max_features"": ""sqrt"", ""clf__min_samples_leaf"": 5, ""clf__n_estimators"": 300}",False,,
CLINICAL,RF_SHALLOW,4,0.6499999999999999,"{""clf__max_depth"": 2, ""clf__max_features"": ""sqrt"", ""clf__min_samples_leaf"": 5, ""clf__n_estimators"": 300}",False,,
CLINICAL,RF_SHALLOW,5,0.5083333333333332,"{""clf__max_depth"": 2, ""clf__max_features"": ""sqrt"", ""clf__min_samples_leaf"": 10, ""clf__n_estimators"": 300}",False,,
