variant,model,auc_mean_true,auc_mean_perm_mean,auc_mean_perm_sd,auc_mean_perm_p95,auc_mean_perm_p99,auc_mean_p_value,auc_mean_n_perm_used,mcc_mean_true,mcc_mean_perm_mean,mcc_mean_perm_sd,mcc_mean_perm_p95,mcc_mean_perm_p99,mcc_mean_p_value,mcc_mean_n_perm_used
FULL,LR_ELNET,1.0,0.5005246031746032,0.10181742531705804,0.673968253968254,0.7083833333333333,0.0196078431372549,50,0.0,0.024355773157101013,0.14674084954328095,0.2908340388810379,0.390466945202262,0.5098039215686274,50
FULL,LR_L1,1.0,0.5030492063492062,0.09656278689366131,0.6871944444444444,0.7221777777777778,0.0196078431372549,50,0.96,0.019932626788518416,0.1626170331629869,0.31423587881302467,0.3880720785300103,0.0196078431372549,50
FULL,RF_SHALLOW,0.99,0.5027845238095238,0.10424019183184056,0.6648293650793649,0.7193,0.0196078431372549,50,0.8743416490252569,0.007481987315141607,0.11385367761553206,0.22959956185311478,0.28045711352618696,0.0196078431372549,50
FULL,SVM_REG,0.95,0.4882761904761905,0.11230499781341971,0.6814841269841269,0.7583555555555554,0.0196078431372549,50,0.7813594362117866,0.0034617406616157097,0.14241366269639052,0.207092309948865,0.40677706198533925,0.0196078431372549,50
CLINICAL,LR_ELNET,0.4800000000000001,0.500234126984127,0.09993043052673914,0.6946428571428571,0.71895,0.49019607843137253,50,-0.03967049050833986,-0.00026139443555979106,0.16456939426703587,0.3086138977124543,0.4058103697758985,0.5490196078431373,50
CLINICAL,LR_L1,0.5200000000000001,0.5061309523809524,0.09241207001002201,0.6838611111111109,0.7058333333333333,0.3333333333333333,50,-0.024868329805051388,0.0034396089958003894,0.15830480953569492,0.2891472149737316,0.38520338597700005,0.5686274509803921,50
CLINICAL,RF_SHALLOW,0.55,0.4773821428571429,0.1271415640345109,0.6955873015873014,0.7422142857142857,0.29411764705882354,50,0.05263200419923721,-0.010815881619305372,0.14871112597054661,0.2535065926738323,0.3371722813680989,0.29411764705882354,50
CLINICAL,SVM_REG,0.6100000000000001,0.5039376984126984,0.11300439133442465,0.6748253968253967,0.7033063492063492,0.2549019607843137,50,0.11533424923428123,0.005671105047601825,0.14797635336423365,0.2611150605327269,0.3068780507347896,0.23529411764705882,50
BIOMARKERS,LR_ELNET,0.85,0.516934126984127,0.10258518651646942,0.6727698412698413,0.7111333333333332,0.0196078431372549,50,0.4586005015602218,0.037323082686348596,0.1542829897725435,0.30256601831048235,0.3232693951064411,0.0196078431372549,50
BIOMARKERS,LR_L1,0.85,0.5157039682539684,0.1065168259992391,0.681111111111111,0.7274285714285713,0.0196078431372549,50,0.5356182887467515,0.04665168360520641,0.14397328387342523,0.311810462547891,0.3707878376157303,0.0196078431372549,50
BIOMARKERS,RF_SHALLOW,0.9,0.524054365079365,0.11279023523883085,0.6811785714285714,0.7430444444444443,0.0196078431372549,50,0.5681138830084189,0.018203179770358804,0.17074658536679882,0.28544049672110616,0.360375835346295,0.0196078431372549,50
BIOMARKERS,SVM_REG,0.86,0.5090043650793651,0.11453769827837146,0.6877777777777779,0.715311111111111,0.0196078431372549,50,0.5327188724235731,-0.004956240416352314,0.15276959213102498,0.25130044558494896,0.27483138641808535,0.0196078431372549,50
