variant,model,outer_fold,auc,mcc@0.5,best_inner_auc,clf__max_depth,clf__max_features,clf__min_samples_leaf,clf__n_estimators,clf__C,clf__l1_ratio,clf__n_neighbors,clf__p,clf__weights
FULL,RF,1,0.9714285714285715,0.6571428571428571,1.0,2.0,sqrt,1.0,300.0,,,,,
FULL,RF,2,1.0,1.0,1.0,2.0,sqrt,1.0,300.0,,,,,
FULL,RF,3,1.0,1.0,1.0,2.0,sqrt,1.0,300.0,,,,,
FULL,RF,4,1.0,1.0,1.0,2.0,sqrt,1.0,300.0,,,,,
FULL,RF,5,1.0,1.0,1.0,2.0,sqrt,1.0,300.0,,,,,
FULL,LR_L2,1,0.6857142857142857,0.3142857142857143,0.8699999999999999,,,,,0.003593813663804626,,,,
FULL,LR_L2,2,0.8857142857142858,0.7142857142857143,0.9199999999999999,,,,,0.046415888336127795,,,,
FULL,LR_L2,3,1.0,1.0,0.9216666666666666,,,,,0.046415888336127795,,,,
FULL,LR_L2,4,0.9333333333333333,0.6333333333333333,0.8733333333333334,,,,,0.1668100537200059,,,,
FULL,LR_L2,5,1.0,1.0,0.8816666666666666,,,,,0.5994842503189409,,,,
FULL,LR_L1,1,1.0,1.0,1.0,,,,,0.1668100537200059,,,,
FULL,LR_L1,2,1.0,0.8451542547285166,1.0,,,,,0.1668100537200059,,,,
FULL,LR_L1,3,1.0,1.0,1.0,,,,,0.1668100537200059,,,,
FULL,LR_L1,4,1.0,1.0,1.0,,,,,0.1668100537200059,,,,
FULL,LR_L1,5,1.0,1.0,1.0,,,,,0.1668100537200059,,,,
FULL,LR_ELNET,1,1.0,1.0,1.0,,,,,0.01291549665014884,0.1,,,
FULL,LR_ELNET,2,1.0,0.7142857142857143,1.0,,,,,0.01291549665014884,0.1,,,
FULL,LR_ELNET,3,1.0,1.0,1.0,,,,,0.01291549665014884,0.1,,,
FULL,LR_ELNET,4,1.0,1.0,1.0,,,,,0.01291549665014884,0.1,,,
FULL,LR_ELNET,5,1.0,1.0,1.0,,,,,0.01291549665014884,0.1,,,
FULL,KNN,1,1.0,1.0,1.0,,,,,,,11.0,1.0,uniform
FULL,KNN,2,1.0,0.8451542547285166,1.0,,,,,,,3.0,1.0,uniform
FULL,KNN,3,1.0,1.0,1.0,,,,,,,3.0,1.0,uniform
FULL,KNN,4,1.0,1.0,1.0,,,,,,,3.0,1.0,uniform
FULL,KNN,5,1.0,1.0,1.0,,,,,,,3.0,1.0,uniform
CLINICAL,RF,1,0.37142857142857144,-0.50709255283711,0.6799999999999999,2.0,sqrt,10.0,600.0,,,,,
