variant,model,auc_mean,auc_sd,mcc_mean,mcc_sd,n_samples,n_features
BIOMARKERS,RF,0.9495238095238097,0.05057492589467334,0.7557133371239156,0.1638514989222265,57,10
BIOMARKERS,KNN,0.9085714285714286,0.08386902649633045,0.6544864857574088,0.09368557533567531,57,10
BIOMARKERS,LR_L1,0.8495238095238096,0.08874279377342154,0.6220600919147019,0.22889478456293125,57,10
BIOMARKERS,LR_ELNET,0.8209523809523809,0.03635925555965922,0.5135968452572695,0.20805942346622658,57,10
BIOMARKERS,LR_L2,0.8142857142857144,0.13594383260590664,0.45562394686484176,0.3109463975126988,57,10
CLINICAL,RF,0.5819047619047619,0.15748159738439035,0.08036673501961376,0.3638172519471375,57,42
CLINICAL,LR_ELNET,0.5057142857142857,0.06111214181773552,-0.026460633760709368,0.13726894804641346,57,42
CLINICAL,KNN,0.5019047619047619,0.14966326526747153,-0.03739577695501482,0.2443771650557135,57,42
CLINICAL,LR_L2,0.47904761904761906,0.08258850814734779,0.11192014004080908,0.13005081504766375,57,42
CLINICAL,LR_L1,0.47285714285714286,0.09012463026050002,0.0061986888131529165,0.06364440098727797,57,42
FULL,LR_L1,1.0,0.0,0.9690308509457033,0.0692491224907307,57,53
FULL,LR_ELNET,1.0,0.0,0.9428571428571428,0.12777531299998798,57,53
FULL,KNN,1.0,0.0,0.9690308509457033,0.0692491224907307,57,53
FULL,RF,0.9942857142857143,0.012777531299998755,0.9314285714285713,0.15333037559998558,57,53
FULL,LR_L2,0.900952380952381,0.12964280248370005,0.7323809523809524,0.2864355974279784,57,53
